@relation 'voice_norm-weka.filters.unsupervised.attribute.Remove-V-R13,6,4,9,2,10-11,21'

@attribute meanfun numeric
@attribute IQR numeric
@attribute Q25 numeric
@attribute sp.ent numeric
@attribute sd numeric
@attribute sfm numeric
@attribute mode numeric
@attribute label {male,female}

@data
0.20539,0.589095,0.183279,0.59699,0.667829,0.70376,0,male
0.174761,0.449333,0.03269,0.687706,0.645492,0.651078,0,male
0.191217,0.454486,0.332044,0.664701,0.665755,0.679338,0,male
0.248425,0.593342,0.070261,0.827068,0.675228,0.807343,0,male
0.140801,0.496136,0.242743,0.477623,0.651196,0.581216,0,male
0.216165,0.687111,0.056084,0.469323,0.707793,0.645443,0,male
0.142852,0.559957,0.11724,0.697864,0.64126,0.719722,0,male
0.302082,0.435925,0.502766,0.745194,0.501157,0.554828,0.478336,male
0.254165,0.424015,0.450898,0.817758,0.47979,0.67108,0.417311,male
0.230394,0.411644,0.399017,0.802717,0.51866,0.657657,0.345974,male
0.392101,0.402295,0.480375,0.880392,0.503723,0.730897,0.505786,male
0.304641,0.465066,0.48962,0.758886,0.510698,0.527887,0.467456,male
0.398519,0.378182,0.507266,0.700494,0.41402,0.398847,0.40389,male
0.386814,0.448984,0.51063,0.71624,0.48504,0.495865,0.451481,male
0.320636,0.397238,0.485168,0.777092,0.45482,0.55228,0.407559,male
0.301506,0.460951,0.472955,0.703329,0.481637,0.473623,0.452189,male
0.307369,0.419308,0.470786,0.770348,0.463772,0.527462,0.387721,male
0.304963,0.458298,0.467694,0.751907,0.513925,0.553016,0.430274,male
0.286697,0.746313,0.100647,0.304435,0.772221,0.454532,0,male
0.244229,0.529054,0.103498,0.543184,0.694787,0.678107,0,male
0.420459,0.508409,0.096278,0.748339,0.687107,0.793209,0,male
0.208962,0.273602,0.392798,0.430579,0.62534,0.506498,0,male
0.270258,0.498753,0.174824,0.591879,0.683191,0.696537,0,male
0.286697,0.543119,0.115915,0.826488,0.680177,0.843105,0,male
0.167673,0.491904,0.385287,0.74644,0.538596,0.605751,0.214447,male
0.092438,0.438624,0.43566,0.754833,0.498122,0.518283,0.214425,male
0.149353,0.530438,0.384862,0.749395,0.567243,0.654314,0.214477,male
0.008128,0.569922,0.360919,0.680377,0.597523,0.598207,0.21449,male
0.111846,0.544155,0.391691,0.716554,0.562027,0.557247,0.214466,male
0.1409,0.503159,0.394144,0.750399,0.540824,0.598521,0.214086,male
0.14441,0.484092,0.393302,0.719614,0.530596,0.533819,0.21472,male
0.029661,0.583966,0.353156,0.688328,0.600784,0.5803,0.215042,male
0.107718,0.459814,0.411097,0.741426,0.54224,0.590626,0.214505,male
0.102791,0.502245,0.377879,0.728672,0.536108,0.626573,0.21499,male
0.332601,0.305342,0.628134,0.728802,0.365669,0.327873,0.794548,male
0.327146,0.252397,0.708334,0.672284,0.354299,0.252779,0.823109,male
0.3766,0.273513,0.707297,0.661744,0.362025,0.266734,0.85372,male
0.372648,0.330783,0.649231,0.675597,0.366395,0.261947,0.887799,male
0.409124,0.276435,0.663199,0.687029,0.358404,0.314839,0.850608,male
0.255662,0.570908,0.123911,0.907422,0.640225,0.858575,0.045416,male
0.263454,0.556276,0.164136,0.934428,0.653876,0.896551,0.023826,male
0.214683,0.545039,0.173855,0.916601,0.614954,0.857329,0.011968,male
0.293718,0.427541,0.05633,0.778101,0.632386,0.698499,0.018617,male
0.230662,0.52229,0.202344,0.913518,0.605683,0.852212,0.349926,male
0.243205,0.520816,0.173862,0.931382,0.614229,0.870083,0.014563,male
0.266187,0.509559,0.216867,0.921472,0.618331,0.88383,0.350278,male
0.116283,0.57496,0.114972,0.907926,0.66054,0.866417,0.015883,male
0.25307,0.549399,0.141122,0.903136,0.63075,0.849406,0.024927,male
0.279891,0.531092,0.108114,0.893965,0.637074,0.832129,0.035565,male
0.299672,0.46379,0.386552,0.816411,0.677692,0.793919,0,male
0.272767,0.586257,0.275156,0.818839,0.696361,0.779564,0,male
0.254841,0.66503,0.0715,0.775455,0.692859,0.733844,0,male
0.313698,0.493516,0.284106,0.940804,0.633515,0.891375,0.514553,male
0.202054,0.685974,0.187076,0.785343,0.749971,0.775874,0,male
0.25943,0.670409,0.063045,0.690954,0.736685,0.714138,0,male
0.274991,0.663321,0.097765,0.707524,0.69708,0.716509,0,male
0.269734,0.703317,0.094024,0.676277,0.731144,0.695334,0,male
0.284618,0.663356,0.095642,0.573258,0.682305,0.627632,0,male
0.17053,0.638453,0.153722,0.804359,0.700699,0.791465,0,male
0.18531,0.537821,0.4185,0.76701,0.559897,0.603168,0.214065,male
0.128966,0.532952,0.374361,0.741056,0.562279,0.607682,0.214456,male
0.117704,0.460899,0.393261,0.742801,0.531295,0.599084,0.214456,male
0.113634,0.500959,0.344359,0.739357,0.555637,0.673241,0.214477,male
0.098339,0.559242,0.371962,0.721885,0.564701,0.554406,0.214104,male
0.089118,0.431913,0.403661,0.771788,0.512654,0.616859,0.214632,male
0.120784,0.52085,0.368076,0.728696,0.553168,0.614842,0.214419,male
0.087378,0.46761,0.382275,0.745877,0.544835,0.642777,0.214112,male
0.071139,0.546053,0.377961,0.726397,0.56736,0.551841,0.214456,male
0.188413,0.530262,0.399931,0.773104,0.552776,0.610033,0.214413,male
0.292355,0.419428,0.44733,0.817359,0.554248,0.727905,0.179218,male
0.262593,0.450935,0.437679,0.91694,0.610961,0.859813,0.178886,male
0.207774,0.598305,0.261999,0.935547,0.712176,0.89606,0.178856,male
0.303156,0.566673,0.284832,0.946999,0.700616,0.92496,0.178886,male
0.283538,0.623679,0.202593,0.936205,0.720524,0.908514,0.178886,male
0.298929,0.596876,0.280989,0.947772,0.709565,0.924067,0.179218,male
0.287915,0.516056,0.348636,0.942489,0.685443,0.899892,0.178856,male
0.259539,0.482029,0.359594,0.908568,0.66906,0.856575,0.178886,male
0.174196,0.422345,0.433324,0.866827,0.582436,0.763453,0.179033,male
0.194283,0.458542,0.54177,0.642953,0.537832,0.368057,0,male
0.170263,0.36283,0.358338,0.79081,0.450767,0.650101,0.374264,male
0.180952,0.387145,0.352838,0.805024,0.503107,0.671822,0.299888,male
0.127494,0.400509,0.36996,0.777537,0.484987,0.657972,0.361229,male
0.313078,0.44118,0.391573,0.805381,0.494044,0.667702,0.357026,male
0.208679,0.340769,0.347815,0.802718,0.475031,0.664224,0.305961,male
0.289277,0.377383,0.348785,0.800614,0.484162,0.664237,0.298246,male
0.217077,0.420538,0.365259,0.795083,0.472065,0.628714,0.2977,male
0.274317,0.393054,0.366579,0.790873,0.466904,0.644466,0.363562,male
0.158711,0.363887,0.351806,0.797132,0.470354,0.663978,0.299873,male
0.232414,0.464887,0.359291,0.79232,0.504954,0.654397,0.30614,male
0.378981,0.425126,0.15797,0.945759,0.633384,0.924197,0.031455,male
0.368209,0.452835,0.282736,0.930762,0.590515,0.902784,0.402797,male
0.475069,0.475071,0.158782,0.955679,0.611725,0.933936,0.032381,male
0.29984,0.565954,0.217054,0.913785,0.668654,0.867847,0.387619,male
0.291285,0.484101,0.317062,0.919354,0.610379,0.911849,0.454839,male
0.394834,0.427652,0.251069,0.972838,0.605307,0.974755,0.456084,male
0.233607,0.454431,0.192974,0.891078,0.605979,0.841706,0.441211,male
0.352537,0.392882,0.401026,0.940093,0.59633,0.920121,0.422719,male
0.324985,0.53639,0.148704,0.873989,0.603329,0.794919,0.379781,male
0.376114,0.376632,0.467841,0.74142,0.582684,0.710072,0.513274,male
0.162335,0.447375,0.321754,0.852783,0.611085,0.771003,0.054616,male
0.166261,0.38661,0.344043,0.850223,0.595357,0.760059,0.584525,male
0.196758,0.45151,0.336216,0.875478,0.621031,0.79502,0.572929,male
0.213879,0.409633,0.328177,0.938023,0.578986,0.901294,0.638081,male
0.197547,0.417068,0.352194,0.876594,0.573106,0.804257,0.617584,male
0.208169,0.482775,0.324416,0.952664,0.638539,0.931106,0.075823,male
0.183408,0.384683,0.364224,0.84224,0.603873,0.742764,0.652374,male
0.280699,0.408741,0.36973,0.881533,0.609138,0.79985,0.661569,male
0.204487,0.46643,0.397877,0.96267,0.610071,0.917401,0.715375,male
0.198188,0.388162,0.35703,0.881798,0.566358,0.779063,0.647117,male
0.394706,0.361954,0.492268,0.849174,0.47741,0.702079,0.780475,male
0.35272,0.428985,0.400477,0.929263,0.577134,0.859091,0.055764,male
0.355977,0.365259,0.480982,0.884914,0.570329,0.738308,0.060225,male
0.353077,0.484548,0.36764,0.97029,0.631697,0.938613,0.062592,male
0.319593,0.328988,0.550592,0.827831,0.441685,0.60596,0.764296,male
0.360228,0.497558,0.335574,0.92153,0.668265,0.870495,0.054526,male
0.33032,0.472859,0.408204,0.851605,0.663004,0.761353,0.055165,male
0.270627,0.356715,0.476889,0.870826,0.55079,0.782889,0.734893,male
0.2068,0.342181,0.474183,0.792945,0.513795,0.643761,0.654384,male
0.286188,0.380747,0.432861,0.872736,0.61052,0.80468,0.058577,male
0.293526,0.403262,0.483593,0.846794,0.52097,0.696388,0.74381,male
0.354916,0.37279,0.504866,0.826119,0.425988,0.585297,0.437297,male
0.334229,0.385776,0.475415,0.707606,0.462325,0.531586,0.7983,male
0.283053,0.3985,0.450774,0.828764,0.487928,0.708596,0.788057,male
0.340524,0.398175,0.519769,0.764167,0.443743,0.46193,0.756203,male
0.261384,0.399645,0.415726,0.776113,0.506529,0.642193,0.756895,male
0.307218,0.383462,0.466445,0.776674,0.445961,0.527937,0.768378,male
0.301664,0.363699,0.486689,0.724009,0.442867,0.533795,0.76173,male
0.333564,0.419424,0.507892,0.767271,0.471418,0.507046,0.412162,male
0.316656,0.389053,0.484974,0.804061,0.470938,0.618316,0.766314,male
0.272215,0.385776,0.472788,0.746571,0.441496,0.550105,0.797527,male
0.274064,0.329422,0.169729,0.887763,0.548017,0.785709,0,male
0.33362,0.589281,0.216156,0.847676,0.6375,0.769202,0,male
0.348092,0.567942,0.184133,0.853268,0.607683,0.77121,0,male
0.257132,0.438902,0.342192,0.807363,0.578876,0.751761,0,male
0.333307,0.494713,0.277884,0.778052,0.6134,0.720181,0,male
0.353125,0.43994,0.408666,0.733071,0.621881,0.627299,0,male
0.428964,0.428015,0.572489,0.497488,0.405959,0.059621,0.889207,male
0.331546,0.617591,0.178234,0.834054,0.652738,0.737964,0,male
0.327738,0.540086,0.284666,0.885159,0.631099,0.812913,0,male
0.334069,0.43903,0.409467,0.773102,0.600051,0.684742,0,male
0.396508,0.512103,0.153195,0.883333,0.63127,0.81243,0,male
0.2671,0.569739,0.162696,0.878129,0.636078,0.786886,0,male
0.323707,0.550235,0.18981,0.84845,0.617398,0.762801,0,male
0.363623,0.500012,0.273285,0.796186,0.583063,0.713285,0,male
0.381107,0.568172,0.227198,0.923436,0.632895,0.879515,0,male
0.275356,0.629179,0.158054,0.944324,0.678204,0.918978,0,male
0.309599,0.528745,0.29002,0.804273,0.627633,0.716014,0,male
0.263567,0.426344,0.260835,0.881118,0.581012,0.852833,0,male
0.205339,0.46925,0.168504,0.885192,0.606449,0.817939,0,male
0.281665,0.358467,0.192183,0.902358,0.528818,0.846471,0,male
0.258787,0.716014,0.076559,0.374634,0.763454,0.594191,0,male
0.20693,0.643646,0.112854,0.361579,0.694968,0.565836,0,male
0.189894,0.486242,0.350571,0.516736,0.72605,0.629369,0,male
0.12695,0.709721,0.047211,0.353549,0.703698,0.579712,0,male
0.156629,0.652355,0.124402,0.397096,0.724718,0.586929,0,male
0.232019,0.542489,0.240805,0.561227,0.719314,0.675977,0,male
0.184899,0.590627,0.199593,0.446328,0.72144,0.618185,0,male
0.274116,0.466893,0.320935,0.447937,0.686764,0.574527,0,male
0.22775,0.544951,0.262317,0.471268,0.711766,0.611698,0,male
0.109595,0.722153,0.000232,0.26145,0.734089,0.535337,0,male
0.452771,0.08521,0.892054,0.491943,0.311459,0.116086,0.838929,male
0.337301,0.081087,0.876066,0.453208,0.301732,0.111794,0.893204,male
0.346831,0.093444,0.855828,0.502736,0.293895,0.127468,0.837427,male
0.394285,0.144174,0.829302,0.523924,0.324237,0.128383,0.828966,male
0.391574,0.039137,0.916611,0.442126,0.285785,0.102717,0.863112,male
0.382759,0.030645,0.915844,0.398717,0.271735,0.099669,0.839147,male
0.390851,0.072331,0.885982,0.470507,0.299139,0.188528,0.84707,male
0.362595,0.086203,0.898064,0.49092,0.311224,0.115056,0.842356,male
0.303334,0.054547,0.889252,0.456346,0.265662,0.125051,0.836528,male
0.378174,0.09282,0.8661,0.481343,0.303642,0.124725,0.842457,male
0.215176,0.376512,0.373831,0.857135,0.552127,0.752362,0.663944,male
0.32972,0.419082,0.423972,0.86248,0.576571,0.737195,0.419421,male
0.232953,0.394713,0.362539,0.855218,0.57121,0.759807,0.061367,male
0.34746,0.390645,0.374798,0.844753,0.539942,0.747587,0.348233,male
0.293107,0.395955,0.38041,0.829892,0.547102,0.715962,0.061192,male
0.335891,0.42922,0.377661,0.893967,0.570302,0.801983,0.061346,male
0.342986,0.405458,0.362659,0.880088,0.555984,0.789601,0.328471,male
0.267292,0.378108,0.371532,0.857377,0.545204,0.766774,0.339437,male
0.235825,0.372613,0.372083,0.810753,0.54972,0.677622,0.345403,male
0.267966,0.441,0.389419,0.928266,0.592732,0.859277,0.061114,male
0.326037,0.445717,0.445589,0.80904,0.554195,0.623903,0,male
0.293125,0.431563,0.42534,0.788153,0.574214,0.620101,0,male
0.371694,0.424017,0.409443,0.880006,0.561572,0.76731,0,male
0.29136,0.43766,0.41463,0.836681,0.551013,0.674163,0,male
0.343512,0.445643,0.427858,0.853335,0.584191,0.723735,0,male
0.289156,0.411501,0.429885,0.849394,0.553339,0.698415,0,male
0.405481,0.454504,0.435404,0.921676,0.604834,0.836012,0,male
0.365209,0.439315,0.460809,0.718375,0.563962,0.611846,0,male
0.255264,0.441149,0.428949,0.837532,0.596529,0.725496,0,male
0.33252,0.428412,0.434507,0.861493,0.565898,0.722966,0,male
0.317377,0.4201,0.478217,0.863506,0.520904,0.679765,0.482318,male
0.330391,0.337228,0.478589,0.910707,0.496625,0.781379,0.625817,male
0.443317,0.362823,0.542139,0.778605,0.416035,0.512129,0.497041,male
0.40343,0.393031,0.48962,0.784195,0.451566,0.538521,0.500986,male
0.28219,0.513767,0.008796,0.30347,0.735068,0.464298,0.00286,male
0.244751,0.149293,0.032373,0.377201,0.53456,0.327166,0.214456,male
0.266044,0.223093,0.032976,0.551225,0.562102,0.473733,0.004654,male
0.187382,0.572168,0.034719,0.575196,0.777704,0.615956,0.21449,male
0.242822,0.425469,0.006276,0.197249,0.71743,0.363116,0.003178,male
0.200649,0.540286,0.020679,0.456973,0.759375,0.497821,0.003178,male
0.220618,0.534246,0.007651,0.392702,0.72528,0.512776,0.005046,male
0.211486,0.549542,0.012663,0.444579,0.739577,0.560111,0.002768,male
0.428964,0.428015,0.572489,0.497488,0.405959,0.059621,0.889207,male
0.433686,0.384016,0.615472,0.592708,0.352244,0.065582,0.983212,male
0.502411,0.276771,0.657985,0.703887,0.291946,0.0817,0.58886,male
0.513649,0.335548,0.634096,0.724723,0.311605,0.084741,0.551564,male
0.476031,0.367706,0.631974,0.625254,0.362461,0.071432,0.923149,male
0.469347,0.307505,0.679775,0.684307,0.319332,0.073779,0.991424,male
0.644152,0.141391,0.743466,0.622007,0.241293,0.054694,0.793001,male
0.371372,0.296553,0.636531,0.689924,0.405707,0.254408,0,male
0.407706,0.323133,0.58961,0.722765,0.396901,0.234726,0,male
0.318606,0.440857,0.568618,0.634246,0.440397,0.195103,0,male
0.425192,0.401702,0.575573,0.637927,0.403821,0.182622,0,male
0.326285,0.200759,0.760448,0.601835,0.359445,0.179457,0,male
0.443435,0.298135,0.632033,0.639033,0.376288,0.176273,0,male
0.334152,0.359366,0.64429,0.614336,0.39811,0.176043,0,male
0.320997,0.387715,0.434118,0.651851,0.456676,0.552392,0.383238,male
0.260965,0.368954,0.405903,0.65069,0.442645,0.535137,0.359817,male
0.207196,0.373581,0.400278,0.717407,0.448023,0.583464,0.36159,male
0.254335,0.377457,0.412215,0.657911,0.432686,0.532504,0.3654,male
0.296397,0.372389,0.41939,0.800397,0.445362,0.636284,0.714594,male
0.238471,0.372699,0.417268,0.765753,0.4457,0.599947,0.368343,male
0.255846,0.362976,0.418128,0.800322,0.437435,0.626955,0.354839,male
0.272567,0.371221,0.419227,0.747763,0.44436,0.608757,0.370812,male
0.23169,0.365848,0.399486,0.645122,0.438481,0.550223,0.715918,male
0.190695,0.368799,0.399417,0.727773,0.447354,0.599858,0.345282,male
0.214792,0.37394,0.39836,0.651598,0.44426,0.524719,0.355487,male
0.231082,0.383893,0.404844,0.694602,0.439323,0.548703,0.342185,male
0.273849,0.374598,0.421643,0.670605,0.443997,0.548793,0.365471,male
0.258276,0.38065,0.398192,0.772498,0.46699,0.620518,0.707443,male
0.273124,0.371232,0.405527,0.725834,0.449062,0.582834,0.351104,male
0.247441,0.378238,0.407415,0.747531,0.448821,0.605446,0.370812,male
0.298677,0.37704,0.426151,0.599157,0.434766,0.480549,0.369231,male
0.293717,0.378884,0.413028,0.729974,0.448497,0.587485,0.367592,male
0.255901,0.366989,0.406594,0.645755,0.436388,0.538962,0.703988,male
0.265416,0.388742,0.41142,0.69006,0.446059,0.546806,0.369412,male
0.300895,0.3787,0.419546,0.696878,0.44635,0.554477,0.739844,male
0.231792,0.387683,0.41863,0.712016,0.466983,0.541497,0.343341,male
0.271587,0.389497,0.41863,0.689645,0.44715,0.538151,0.372594,male
0.309196,0.38918,0.429935,0.604039,0.449341,0.484534,0.36991,male
0.195456,0.381335,0.409035,0.738334,0.455352,0.586617,0.361817,male
0.253873,0.379502,0.414974,0.666317,0.437929,0.508201,0.716078,male
0.18106,0.382134,0.408868,0.720528,0.454794,0.561012,0.363988,male
0.22857,0.37496,0.420256,0.656718,0.454276,0.567869,0.369534,male
0.245149,0.370046,0.389228,0.718715,0.481993,0.613107,0.331583,male
0.288997,0.37093,0.379878,0.803809,0.498863,0.691505,0.328582,male
0.241697,0.373314,0.404856,0.738211,0.448026,0.621858,0.365031,male
0.28929,0.375858,0.421069,0.719448,0.449595,0.605593,0.367491,male
0.209935,0.387473,0.407665,0.773393,0.460458,0.596422,0.367125,male
0.265659,0.372416,0.418727,0.723521,0.436244,0.565885,0.360544,male
0.311397,0.381918,0.416471,0.769839,0.445978,0.589637,0.36838,male
0.314445,0.379188,0.435483,0.681782,0.438084,0.553389,0.383039,male
0.327805,0.365917,0.414268,0.757659,0.432131,0.607298,0.355658,male
0.254779,0.374832,0.402732,0.753363,0.454233,0.587195,0.341624,male
0.24607,0.367656,0.409809,0.690586,0.446883,0.549942,0.374219,male
0.268664,0.372975,0.405728,0.715129,0.45009,0.589865,0.352197,male
0.292256,0.379403,0.420251,0.663352,0.440726,0.531125,0.371716,male
0.232373,0.394597,0.397559,0.720279,0.465554,0.569826,0.335536,male
0.230715,0.386035,0.403561,0.71642,0.454019,0.572992,0.73665,male
0.228782,0.416326,0.396196,0.92223,0.542198,0.866488,0.333905,male
0.286188,0.415791,0.384044,0.956923,0.564768,0.927872,0.374335,male
0.293645,0.429683,0.436975,0.930243,0.579806,0.874555,0.772402,male
0.306097,0.428913,0.409154,0.971841,0.579635,0.952915,0.480535,male
0.356593,0.422957,0.469655,0.933577,0.549887,0.870158,0.476807,male
0.28314,0.421598,0.462558,0.901422,0.536322,0.815111,0.722796,male
0.346637,0.415007,0.409658,0.92741,0.572201,0.889586,0.718085,male
0.309187,0.638171,0.277011,0.640466,0.801431,0.526049,0.00301,male
0.222094,0.445927,0.372561,0.928101,0.620538,0.891824,0.411438,male
0.330749,0.492786,0.366974,0.970058,0.651693,0.931168,0.409299,male
0.264679,0.614755,0.151254,0.889753,0.666193,0.828471,0.378989,male
0.349421,0.476477,0.327657,0.913988,0.611228,0.845175,0.400184,male
0.335749,0.597069,0.222753,0.90145,0.672059,0.850799,0.032902,male
0.332227,0.543405,0.241499,0.947112,0.648067,0.903354,0.360235,male
0.264751,0.573981,0.24983,0.929255,0.681498,0.868665,0.019922,male
0.363697,0.433298,0.533232,0.792202,0.490641,0.60254,0.948352,male
0.354802,0.426737,0.521421,0.830976,0.563012,0.708044,0.875217,male
0.323931,0.408056,0.52899,0.72571,0.438083,0.527101,0.87309,male
0.292772,0.413601,0.542481,0.468236,0.418045,0.351959,0.880102,male
0.217938,0.428617,0.452688,0.815842,0.603296,0.728837,0.771478,male
0.236879,0.402069,0.507706,0.758555,0.426121,0.529929,0.83053,male
0.294853,0.440275,0.51555,0.618789,0.443874,0.40637,0.891566,male
