@relation 'voice-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Remove-V-R2,6,10,13,15,17,19,21'

@attribute sd {'\'(-inf-0.041738]\'','\'(0.041738-0.047596]\'','\'(0.047596-0.054543]\'','\'(0.054543-0.058055]\'','\'(0.058055-0.063845]\'','\'(0.063845-0.082008]\'','\'(0.082008-0.096046]\'','\'(0.096046-inf)\''}
@attribute IQR {'\'(-inf-0.06188]\'','\'(0.06188-0.073161]\'','\'(0.073161-0.082589]\'','\'(0.082589-0.092775]\'','\'(0.092775-0.127485]\'','\'(0.127485-0.151633]\'','\'(0.151633-0.197719]\'','\'(0.197719-inf)\''}
@attribute sfm {'\'(-inf-0.249183]\'','\'(0.249183-0.296725]\'','\'(0.296725-inf)\''}
@attribute meanfun {'\'(-inf-0.132466]\'','\'(0.132466-0.141815]\'','\'(0.141815-0.14949]\'','\'(0.14949-inf)\''}
@attribute maxfun {'\'(-inf-0.172229]\'','\'(0.172229-0.274956]\'','\'(0.274956-inf)\''}
@attribute mindom {'\'(-inf-0.054199]\'','\'(0.054199-0.069336]\'','\'(0.069336-0.141114]\'','\'(0.141114-0.149902]\'','\'(0.149902-0.238281]\'','\'(0.238281-0.245605]\'','\'(0.245605-inf)\''}
@attribute dfrange {'\'(-inf-0.811524]\'','\'(0.811524-1.613282]\'','\'(1.613282-4.160156]\'','\'(4.160156-5.394531]\'','\'(5.394531-6.449219]\'','\'(6.449219-8.988281]\'','\'(8.988281-inf)\''}
@attribute label {male,female}

@data
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(-inf-0.172229]\'','\'(-inf-0.054199]\'','\'(1.613282-4.160156]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(1.613282-4.160156]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(4.160156-5.394531]\'',male
'\'(0.058055-0.063845]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.274956-inf)\'','\'(-inf-0.054199]\'','\'(1.613282-4.160156]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.274956-inf)\'','\'(0.149902-0.238281]\'','\'(6.449219-8.988281]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(6.449219-8.988281]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.274956-inf)\'','\'(-inf-0.054199]\'','\'(5.394531-6.449219]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(-inf-0.811524]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(1.613282-4.160156]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(1.613282-4.160156]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(-inf-0.811524]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.274956-inf)\'','\'(-inf-0.054199]\'','\'(1.613282-4.160156]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(-inf-0.811524]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(-inf-0.811524]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.274956-inf)\'','\'(-inf-0.054199]\'','\'(1.613282-4.160156]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(0.811524-1.613282]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(1.613282-4.160156]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(-inf-0.811524]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(-inf-0.811524]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(-inf-0.811524]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(0.811524-1.613282]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.274956-inf)\'','\'(-inf-0.054199]\'','\'(-inf-0.811524]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(0.132466-0.141815]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(-inf-0.811524]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(4.160156-5.394531]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(-inf-0.811524]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(-inf-0.172229]\'','\'(-inf-0.054199]\'','\'(1.613282-4.160156]\'',male
'\'(0.063845-0.082008]\'','\'(0.073161-0.082589]\'','\'(0.296725-inf)\'','\'(0.141815-0.14949]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(-inf-0.811524]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(0.132466-0.141815]\'','\'(-inf-0.172229]\'','\'(0.069336-0.141114]\'','\'(-inf-0.811524]\'',male
'\'(0.063845-0.082008]\'','\'(0.06188-0.073161]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(-inf-0.811524]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(0.811524-1.613282]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(0.132466-0.141815]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(-inf-0.811524]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(4.160156-5.394531]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(1.613282-4.160156]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(0.069336-0.141114]\'','\'(4.160156-5.394531]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(-inf-0.811524]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.274956-inf)\'','\'(-inf-0.054199]\'','\'(4.160156-5.394531]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(0.811524-1.613282]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(-inf-0.811524]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.274956-inf)\'','\'(-inf-0.054199]\'','\'(6.449219-8.988281]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(-inf-0.172229]\'','\'(-inf-0.054199]\'','\'(4.160156-5.394531]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(4.160156-5.394531]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(4.160156-5.394531]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(4.160156-5.394531]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(5.394531-6.449219]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.274956-inf)\'','\'(-inf-0.054199]\'','\'(1.613282-4.160156]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.274956-inf)\'','\'(-inf-0.054199]\'','\'(5.394531-6.449219]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(4.160156-5.394531]\'',male
'\'(0.082008-0.096046]\'','\'(0.151633-0.197719]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(1.613282-4.160156]\'',male
'\'(0.082008-0.096046]\'','\'(0.151633-0.197719]\'','\'(0.296725-inf)\'','\'(0.132466-0.141815]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(4.160156-5.394531]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(4.160156-5.394531]\'',male
'\'(0.063845-0.082008]\'','\'(0.127485-0.151633]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(4.160156-5.394531]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(0.069336-0.141114]\'','\'(4.160156-5.394531]\'',male
'\'(0.082008-0.096046]\'','\'(0.127485-0.151633]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(4.160156-5.394531]\'',male
'\'(0.082008-0.096046]\'','\'(0.127485-0.151633]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.274956-inf)\'','\'(-inf-0.054199]\'','\'(4.160156-5.394531]\'',male
'\'(0.082008-0.096046]\'','\'(0.127485-0.151633]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(4.160156-5.394531]\'',male
'\'(0.082008-0.096046]\'','\'(0.127485-0.151633]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(1.613282-4.160156]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(1.613282-4.160156]\'',male
'\'(0.041738-0.047596]\'','\'(-inf-0.06188]\'','\'(0.296725-inf)\'','\'(0.132466-0.141815]\'','\'(0.172229-0.274956]\'','\'(0.069336-0.141114]\'','\'(6.449219-8.988281]\'',male
'\'(0.047596-0.054543]\'','\'(0.06188-0.073161]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(0.069336-0.141114]\'','\'(6.449219-8.988281]\'',male
'\'(0.047596-0.054543]\'','\'(0.06188-0.073161]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(4.160156-5.394531]\'',male
'\'(0.058055-0.063845]\'','\'(0.073161-0.082589]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(6.449219-8.988281]\'',male
'\'(0.058055-0.063845]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(-inf-0.811524]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(0.149902-0.238281]\'','\'(4.160156-5.394531]\'',male
'\'(0.047596-0.054543]\'','\'(-inf-0.06188]\'','\'(0.296725-inf)\'','\'(0.14949-inf)\'','\'(0.172229-0.274956]\'','\'(0.069336-0.141114]\'','\'(5.394531-6.449219]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(1.613282-4.160156]\'',male
'\'(0.047596-0.054543]\'','\'(0.06188-0.073161]\'','\'(0.296725-inf)\'','\'(0.14949-inf)\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(6.449219-8.988281]\'',male
'\'(0.054543-0.058055]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(0.132466-0.141815]\'','\'(0.172229-0.274956]\'','\'(0.069336-0.141114]\'','\'(6.449219-8.988281]\'',male
'\'(0.054543-0.058055]\'','\'(0.073161-0.082589]\'','\'(0.296725-inf)\'','\'(0.132466-0.141815]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(6.449219-8.988281]\'',male
'\'(0.054543-0.058055]\'','\'(0.073161-0.082589]\'','\'(0.296725-inf)\'','\'(0.14949-inf)\'','\'(0.172229-0.274956]\'','\'(0.149902-0.238281]\'','\'(5.394531-6.449219]\'',male
'\'(0.054543-0.058055]\'','\'(0.06188-0.073161]\'','\'(0.296725-inf)\'','\'(0.141815-0.14949]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(6.449219-8.988281]\'',male
'\'(0.058055-0.063845]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(0.132466-0.141815]\'','\'(0.274956-inf)\'','\'(0.069336-0.141114]\'','\'(6.449219-8.988281]\'',male
'\'(0.047596-0.054543]\'','\'(-inf-0.06188]\'','\'(0.296725-inf)\'','\'(0.141815-0.14949]\'','\'(0.172229-0.274956]\'','\'(0.069336-0.141114]\'','\'(6.449219-8.988281]\'',male
'\'(0.054543-0.058055]\'','\'(0.082589-0.092775]\'','\'(0.296725-inf)\'','\'(0.14949-inf)\'','\'(0.274956-inf)\'','\'(0.141114-0.149902]\'','\'(5.394531-6.449219]\'',male
'\'(0.054543-0.058055]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(0.069336-0.141114]\'','\'(-inf-0.811524]\'',male
'\'(0.047596-0.054543]\'','\'(0.082589-0.092775]\'','\'(0.249183-0.296725]\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(0.069336-0.141114]\'','\'(-inf-0.811524]\'',male
'\'(0.047596-0.054543]\'','\'(0.073161-0.082589]\'','\'(0.249183-0.296725]\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(0.069336-0.141114]\'','\'(-inf-0.811524]\'',male
'\'(0.058055-0.063845]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(0.069336-0.141114]\'','\'(-inf-0.811524]\'',male
'\'(0.054543-0.058055]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(0.069336-0.141114]\'','\'(-inf-0.811524]\'',male
'\'(0.054543-0.058055]\'','\'(0.082589-0.092775]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(1.613282-4.160156]\'',male
'\'(0.047596-0.054543]\'','\'(0.06188-0.073161]\'','\'(0.249183-0.296725]\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(1.613282-4.160156]\'',male
'\'(0.054543-0.058055]\'','\'(0.073161-0.082589]\'','\'(0.249183-0.296725]\'','\'(-inf-0.132466]\'','\'(0.274956-inf)\'','\'(-inf-0.054199]\'','\'(1.613282-4.160156]\'',male
'\'(0.054543-0.058055]\'','\'(0.073161-0.082589]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(-inf-0.172229]\'','\'(0.069336-0.141114]\'','\'(-inf-0.811524]\'',male
'\'(0.054543-0.058055]\'','\'(0.092775-0.127485]\'','\'(0.249183-0.296725]\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(0.069336-0.141114]\'','\'(-inf-0.811524]\'',male
'\'(0.063845-0.082008]\'','\'(0.127485-0.151633]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.274956-inf)\'','\'(-inf-0.054199]\'','\'(-inf-0.811524]\'',male
'\'(0.063845-0.082008]\'','\'(0.151633-0.197719]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(-inf-0.811524]\'',male
'\'(0.063845-0.082008]\'','\'(0.151633-0.197719]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(-inf-0.811524]\'',male
'\'(0.082008-0.096046]\'','\'(0.151633-0.197719]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(-inf-0.811524]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(-inf-0.811524]\'',male
'\'(0.082008-0.096046]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(-inf-0.811524]\'',male
'\'(0.082008-0.096046]\'','\'(0.151633-0.197719]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(-inf-0.811524]\'',male
'\'(0.063845-0.082008]\'','\'(0.127485-0.151633]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(-inf-0.811524]\'',male
'\'(0.082008-0.096046]\'','\'(0.151633-0.197719]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(-inf-0.811524]\'',male
'\'(0.063845-0.082008]\'','\'(0.127485-0.151633]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.274956-inf)\'','\'(-inf-0.054199]\'','\'(-inf-0.811524]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(0.811524-1.613282]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(-inf-0.811524]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(0.069336-0.141114]\'','\'(5.394531-6.449219]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.274956-inf)\'','\'(-inf-0.054199]\'','\'(1.613282-4.160156]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(-inf-0.172229]\'','\'(-inf-0.054199]\'','\'(1.613282-4.160156]\'',male
'\'(0.058055-0.063845]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(0.069336-0.141114]\'','\'(-inf-0.811524]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(0.069336-0.141114]\'','\'(5.394531-6.449219]\'',male
'\'(0.058055-0.063845]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(-inf-0.172229]\'','\'(0.069336-0.141114]\'','\'(-inf-0.811524]\'',male
'\'(0.063845-0.082008]\'','\'(0.092775-0.127485]\'','\'(0.296725-inf)\'','\'(-inf-0.132466]\'','\'(0.172229-0.274956]\'','\'(-inf-0.054199]\'','\'(5.394531-6.449219]\'',male
