@relation 'voice-weka.filters.unsupervised.attribute.Remove-V-R2-3,6,8-11,13-14,17,20-21'

@attribute sd numeric
@attribute median numeric
@attribute IQR numeric
@attribute kurt numeric
@attribute sp.ent numeric
@attribute sfm numeric
@attribute mode numeric
@attribute meanfun numeric
@attribute minfun numeric
@attribute mindom numeric
@attribute modindx numeric
@attribute label {male,female}

@data
0.077089,0.118976,0.122561,8.721391,0.955491,0.715342,0.123539,0.098098,0.016807,0.023438,0.251351,male
0.076154,0.132439,0.107933,7.904866,0.967419,0.778549,0.118361,0.119752,0.015764,0.007813,0.119285,male
0.076832,0.109909,0.14204,8.230453,0.951332,0.677629,0.106339,0.114736,0.016016,0.007813,0.091897,male
0.074831,0.139381,0.104071,12.28609,0.919072,0.609237,0.143717,0.124045,0.025478,0.015625,0.155172,male
0.077583,0.152926,0.120884,7.072493,0.946172,0.658351,0.015293,0.085122,0.016064,0.023438,0.294491,male
0.076059,0.162254,0.106442,6.776298,0.945549,0.649529,0.163667,0.085837,0.021651,0.007813,0.201241,male
0.078547,0.160583,0.121867,8.4867,0.951695,0.67771,0.16042,0.091389,0.015702,0.007813,0.099034,male
0.074473,0.152363,0.111914,7.298108,0.966915,0.763373,0.178663,0.094506,0.018626,0.007813,0.161664,male
0.073903,0.163917,0.113681,18.739979,0.951966,0.685155,0.172924,0.091533,0.025316,0.007813,0.157107,male
0.080244,0.158185,0.129298,5.371888,0.970478,0.787403,0.021231,0.093467,0.016016,0.007813,0.291999,male
0.076885,0.17337,0.105984,9.538397,0.943606,0.635588,0.182665,0.088959,0.017241,0.007813,0.268479,male
0.077395,0.168856,0.111702,8.127694,0.953168,0.681603,0.185239,0.106672,0.017204,0.007813,0.160103,male
0.077485,0.168107,0.125413,4.512376,0.972912,0.776357,0.200305,0.092796,0.015952,0.007813,0.26439,male
0.073249,0.162977,0.106811,6.252862,0.953233,0.664847,0.181193,0.09165,0.018038,0.007813,0.156181,male
0.064629,0.189385,0.100583,4.138927,0.945294,0.602794,0.218533,0.12743,0.017602,0.007813,0.219598,male
0.074293,0.172015,0.116514,5.243747,0.964783,0.729355,0.015614,0.119785,0.019536,0.109375,0.239697,male
0.073634,0.19178,0.101368,6.069666,0.953991,0.631997,0.016863,0.120378,0.01592,0.007813,0.282174,male
0.079581,0.153317,0.129719,9.131403,0.974767,0.793454,0.017526,0.119851,0.017167,0.007813,0.349247,male
0.061167,0.205021,0.092748,5.769633,0.9401,0.525316,0.214003,0.113754,0.016546,0.179688,0.303258,male
0.083125,0.153563,0.132811,13.636389,0.962901,0.738547,0.015267,0.121152,0.016194,0.34375,0.30827,male
0.082615,0.180441,0.126941,13.880795,0.945885,0.650573,0.015446,0.115707,0.051118,0.007813,0.212858,male
0.07174,0.191215,0.099337,5.980398,0.950563,0.667931,0.20577,0.104839,0.022504,0.054688,0.228002,male
0.068155,0.187497,0.095883,5.822875,0.931611,0.555786,0.183227,0.093218,0.017857,0.1875,0.118564,male
0.077529,0.146639,0.105049,12.957511,0.951028,0.685496,0.016402,0.107672,0.018038,0.15625,0.220859,male
0.06885,0.1928,0.1104,3.819471,0.944715,0.598206,0.208267,0.109008,0.016512,0.023438,0.341595,male
0.059646,0.174659,0.103158,4.167449,0.939683,0.50866,0.122443,0.120185,0.018957,0.09375,0.165427,male
0.063167,0.199938,0.106244,16.417189,0.910844,0.465367,0.223524,0.116419,0.020305,0.007813,0.321429,male
0.065648,0.157309,0.109268,10.692241,0.940327,0.608047,0.220656,0.107101,0.024615,0.007813,0.168564,male
0.061366,0.205243,0.109191,3.901684,0.924608,0.40922,0.211737,0.117565,0.015779,0.117188,0.358065,male
0.067451,0.188192,0.10954,9.287996,0.927515,0.554522,0.211931,0.103156,0.032193,0.007813,0.264128,male
0.061581,0.197176,0.105694,6.581619,0.927651,0.462425,0.215146,0.111501,0.018519,0.007813,0.216667,male
0.061282,0.205484,0.100997,13.801889,0.914835,0.467147,0.213284,0.11049,0.03653,0.007813,0.146896,male
0.064048,0.210291,0.114241,4.918714,0.925363,0.445586,0.115405,0.116298,0.021108,0.007813,0.125367,male
0.064002,0.19995,0.107023,5.53373,0.934316,0.535276,0.214568,0.113219,0.017149,0.09375,0.294288,male
0.061149,0.198207,0.106244,11.762188,0.920326,0.480294,0.223308,0.105128,0.015779,0.007813,0.204582,male
0.071472,0.084163,0.092851,12.95779,0.954684,0.670205,0,0.105465,0.018018,0.007813,0.118881,male
0.080143,0.114922,0.154611,26.678369,0.944929,0.656899,0,0.116308,0.016529,0.007813,0.252,male
0.077254,0.107735,0.149539,16.449029,0.94629,0.658518,0,0.118943,0.019254,0.007813,0.122392,male
0.074462,0.112872,0.11887,25.18956,0.935119,0.64284,0,0.102382,0.015857,0.007813,0.483376,male
0.077808,0.113888,0.132135,24.360696,0.927987,0.617386,0,0.116251,0.01741,0.007813,0.198157,male
0.07863,0.119756,0.119117,38.883051,0.91704,0.542517,0,0.119859,0.016546,0.007813,0.200265,male
0.057705,0.242573,0.116283,7.890927,0.859712,0.084934,0.248978,0.133667,0.028319,0.132813,0.229051,male
0.08162,0.115071,0.161339,26.350026,0.941614,0.631719,0,0.11593,0.019925,0.007813,0.089597,male
0.079523,0.117448,0.142919,31.676427,0.954051,0.692133,0,0.115237,0.017738,0.007813,0.245179,male
0.076514,0.1196,0.118901,19.683095,0.926782,0.588819,0,0.11639,0.017486,0.007813,0.412281,male
0.07954,0.106411,0.136268,45.709937,0.953606,0.691744,0,0.127758,0.015764,0.007813,0.086373,male
0.080006,0.107824,0.149966,18.731329,0.95234,0.671153,0,0.104197,0.016194,0.007813,0.174344,male
0.078195,0.108297,0.145331,14.185274,0.945118,0.651739,0,0.114503,0.01592,0.007813,0.26186,male
0.074868,0.111446,0.133394,27.45937,0.932399,0.611827,0,0.12177,0.016667,0.007813,0.087861,male
0.079697,0.11003,0.149594,16.497212,0.963365,0.745818,0,0.124954,0.017877,0.007813,0.198467,male
0.084088,0.109829,0.164093,25.207585,0.968448,0.777627,0,0.1057,0.015686,0.007813,0.21193,male
0.079187,0.114992,0.140223,30.228474,0.934367,0.614026,0,0.111934,0.015889,0.007813,0.167846,male
