@relation 'voice-weka.filters.unsupervised.attribute.Remove-V-R1-2,6-7,10-11,13,20-21'

@attribute meanfreq numeric
@attribute sd numeric
@attribute IQR numeric
@attribute skew numeric
@attribute sfm numeric
@attribute mode numeric
@attribute meanfun numeric
@attribute modindx numeric
@attribute label {male,female}

@data
0.096725,0.0838,0.155576,20.307146,0.687643,0,0.100796,0.04878,male
0.119977,0.081471,0.132473,22.400866,0.505371,0,0.081201,0,male
0.106861,0.086955,0.177862,23.860445,0.557142,0,0.094923,0,male
0.100906,0.080508,0.147641,22.649384,0.617015,0,0.081575,0,male
0.169506,0.06693,0.118163,2.384672,0.484101,0.133934,0.110566,0.143082,male
0.163313,0.06486,0.115332,1.801984,0.577807,0.116847,0.101841,0.42381,male
0.160925,0.068627,0.112392,2.670335,0.566987,0.096873,0.097513,0.139334,male
0.16486,0.067179,0.11017,1.764016,0.626023,0.14162,0.126956,0.080403,male
0.177428,0.067855,0.125089,1.858877,0.462385,0.130888,0.111032,0.105554,male
0.176685,0.058486,0.104439,1.730253,0.358371,0.113089,0.128124,0.16129,male
0.179029,0.065368,0.121267,2.14188,0.436573,0.126415,0.125993,0.110352,male
0.166353,0.06244,0.108968,1.762845,0.482047,0.114116,0.113944,0.261574,male
0.173757,0.065039,0.124111,2.156018,0.418645,0.126613,0.110461,0.173502,male
0.168023,0.063307,0.114214,2.009766,0.462042,0.108562,0.111528,0.216486,male
0.169353,0.068168,0.12348,2.038745,0.48264,0.120477,0.11109,0.239254,male
0.130411,0.093199,0.191932,27.798182,0.403256,0,0.107765,0,male
0.116779,0.085695,0.140297,23.359828,0.583471,0,0.100032,0,male
0.107162,0.084951,0.13539,24.173676,0.67625,0,0.132119,0.117647,male
0.1311,0.078965,0.079584,25.39336,0.445144,0,0.093611,0,male
0.126195,0.084571,0.133095,28.385355,0.598327,0,0.104772,0.052632,male
0.10713,0.084279,0.14364,23.987839,0.71647,0,0.107765,0,male
0.164801,0.070559,0.131467,18.849603,0.525147,0.060045,0.086094,0,male
0.174843,0.066636,0.118804,12.568542,0.454643,0.060039,0.072396,0.073171,male
0.164959,0.073335,0.140626,17.574405,0.564292,0.060054,0.082758,0.092857,male
0.162515,0.076269,0.15001,17.750146,0.519067,0.060057,0.057045,0,male
0.172346,0.072829,0.143886,15.812252,0.486051,0.06005,0.075929,0.0625,male
0.167705,0.070774,0.134142,17.948488,0.51932,0.059944,0.081219,0.051282,male
0.168623,0.069783,0.129611,15.480388,0.467166,0.060122,0.081858,0.059229,male
0.166402,0.076585,0.153347,15.862184,0.504633,0.060212,0.060966,0,male
0.169082,0.070912,0.123841,12.385369,0.512956,0.060061,0.075178,0.121302,male
0.160199,0.070317,0.133925,16.495955,0.541932,0.060197,0.074281,0.074074,male
0.200815,0.0538,0.087128,1.743361,0.301161,0.222473,0.116122,0.177799,male
0.208677,0.052698,0.074544,2.082082,0.240631,0.230471,0.115129,0.214834,male
0.214956,0.053447,0.079563,2.156407,0.25188,0.239042,0.124133,0.184139,male
0.211485,0.053871,0.093174,2.284524,0.248022,0.248584,0.123414,0.11981,male
0.206924,0.053096,0.080257,2.907053,0.290656,0.23817,0.130055,0.234485,male
0.107825,0.080407,0.150244,2.029542,0.728939,0.012717,0.102114,0.263111,male
0.115866,0.08173,0.146767,1.885671,0.75955,0.006671,0.103533,0.330982,male
0.113203,0.077958,0.144096,1.701254,0.727935,0.003351,0.094653,0.150823,male
0.085151,0.079648,0.11617,2.883271,0.599908,0.005213,0.109043,0.13794,male
0.115619,0.07706,0.138689,2.053251,0.72381,0.097979,0.097562,0.109206,male
0.113316,0.077888,0.138339,1.398776,0.738215,0.004078,0.099846,0.126933,male
0.119213,0.078286,0.135663,1.98551,0.749296,0.098078,0.10403,0.126649,male
0.105493,0.082376,0.151207,3.258646,0.73526,0.004447,0.076737,0.250162,male
0.108456,0.079489,0.145132,2.213993,0.721548,0.006979,0.101642,0.257987,male
0.099854,0.080102,0.140781,2.425281,0.707622,0.009958,0.106525,0.247293,male
0.145026,0.084038,0.124786,28.45025,0.676823,0,0.110127,0.037037,male
0.138468,0.085848,0.153892,27.284093,0.665251,0,0.105228,0.042301,male
0.097915,0.085508,0.172614,22.784883,0.628398,0,0.101964,0.052632,male
0.136482,0.079757,0.13185,1.59969,0.755378,0.144075,0.112681,0.123452,male
0.135724,0.091043,0.177591,22.851028,0.662277,0,0.092354,0,male
0.105873,0.089755,0.173892,24.267693,0.612515,0,0.1028,0.067097,male
0.112637,0.085917,0.172207,28.201616,0.614425,0,0.105633,0.05,male
0.116289,0.089218,0.181713,22.555224,0.597357,0,0.104676,0.134328,male
0.113288,0.084485,0.172216,27.103528,0.542785,0,0.107386,0,male
0.122448,0.086268,0.166297,26.054664,0.674844,0,0.086614,0.05,male
0.174298,0.072623,0.14238,15.553404,0.523066,0.059938,0.089305,0.111583,male
0.164973,0.072854,0.141223,17.574986,0.526704,0.060048,0.079046,0.092246,male
0.165808,0.069851,0.124098,17.687897,0.519774,0.060048,0.076996,0.078764,male
0.155057,0.07221,0.133619,19.364065,0.579548,0.060054,0.076255,0.066667,male
0.17031,0.073088,0.147471,18.969499,0.48376,0.059949,0.07347,0.073413,male
0.16318,0.068045,0.117209,21.579705,0.534102,0.060097,0.071791,0.054911,male
0.161741,0.071971,0.138347,22.497608,0.532476,0.060037,0.077557,0.050796,male
0.160985,0.071163,0.125693,22.868868,0.554993,0.059951,0.071474,0,male
0.169876,0.073346,0.144337,17.004089,0.481694,0.060048,0.068518,0.075727,male
0.171829,0.071933,0.140584,19.305794,0.528599,0.060036,0.08987,0.083092,male
0.168958,0.072075,0.114242,2.765168,0.623611,0.050181,0.108795,0.24214,male
0.166469,0.077571,0.12173,3.341124,0.729937,0.050088,0.103376,0.272794,male
0.147873,0.08738,0.156755,2.390712,0.759154,0.05008,0.093395,0.250709,male
0.148742,0.08626,0.149238,3.037177,0.782449,0.050088,0.110761,0.356537,male
0.138677,0.088189,0.162786,3.892381,0.769193,0.050088,0.107189,0.195951,male
0.150705,0.087127,0.156416,2.603951,0.781729,0.050181,0.109992,0.332396,male
0.154306,0.08479,0.137207,2.820347,0.762243,0.05008,0.107986,0.344098,male
0.154812,0.083202,0.12912,3.309897,0.727327,0.050088,0.10282,0.307588,male
0.167105,0.074807,0.114935,3.101154,0.652265,0.050129,0.087281,0.385313,male
0.188815,0.070485,0.123538,2.198545,0.333553,0,0.090939,0.24,male
0.134962,0.062047,0.100791,2.317095,0.560896,0.104794,0.086565,0.132783,male
0.14201,0.067119,0.10657,3.133693,0.578405,0.083969,0.088512,0.089172,male
0.141047,0.065363,0.109746,2.902501,0.567241,0.101144,0.078778,0.145329,male
0.146684,0.066241,0.119412,1.935968,0.575084,0.099967,0.112568,0.267362,male
0.134106,0.064399,0.095547,2.874535,0.572281,0.085669,0.09356,0.093533,male
0.137295,0.065283,0.10425,2.916014,0.572291,0.083509,0.108234,0.180593,male
0.141913,0.064111,0.114506,2.762945,0.543657,0.083356,0.095089,0.229949,male
0.139333,0.063611,0.107974,2.297273,0.556354,0.101797,0.10551,0.053958,male
0.134992,0.063945,0.101042,2.634625,0.572082,0.083964,0.084462,0.097214,male
0.145021,0.067298,0.125046,2.936318,0.564359,0.085719,0.097881,0.107342,male
0.111692,0.079745,0.115596,0.985696,0.781834,0.008807,0.124567,0.291667,male
0.133431,0.07559,0.122182,1.344299,0.764574,0.112783,0.122605,0.208627,male
0.110683,0.077646,0.127467,1.1101,0.789685,0.009067,0.142062,0.338983,male
0.128337,0.083163,0.149067,1.900327,0.736413,0.108533,0.110157,0.099489,male
0.133595,0.077515,0.129613,1.892491,0.771881,0.127355,0.1086,0.338624,male
0.128462,0.077024,0.116197,1.40489,0.822587,0.127703,0.127453,0.159204,male
0.11885,0.077089,0.122561,1.999467,0.715342,0.123539,0.098098,0.251351,male
0.141909,0.076154,0.107933,1.848922,0.778549,0.118361,0.119752,0.119285,male
0.113764,0.076832,0.14204,1.935176,0.677629,0.106339,0.114736,0.091897,male
0.150862,0.074831,0.104071,2.856023,0.609237,0.143717,0.124045,0.155172,male
0.137313,0.077583,0.120884,1.84605,0.658351,0.015293,0.085122,0.294491,male
0.144524,0.076059,0.106442,1.869412,0.649529,0.163667,0.085837,0.201241,male
0.145531,0.078547,0.121867,2.114403,0.67771,0.16042,0.091389,0.099034,male
0.138795,0.074473,0.111914,1.879191,0.763373,0.178663,0.094506,0.161664,male
0.149096,0.073903,0.113681,3.07894,0.685155,0.172924,0.091533,0.157107,male
0.145027,0.080244,0.129298,1.462297,0.787403,0.021231,0.093467,0.291999,male
0.149561,0.076885,0.105984,2.389099,0.635588,0.182665,0.088959,0.268479,male
0.148974,0.077395,0.111702,1.999175,0.681603,0.185239,0.106672,0.160103,male
0.159905,0.077485,0.125413,1.055363,0.776357,0.200305,0.092796,0.26439,male
0.146144,0.073249,0.106811,1.732992,0.664847,0.181193,0.09165,0.156181,male
0.171766,0.064629,0.100583,1.354595,0.602794,0.218533,0.12743,0.219598,male
0.153504,0.074293,0.116514,1.425215,0.729355,0.015614,0.119785,0.239697,male
0.168305,0.073634,0.101368,1.653817,0.631997,0.016863,0.120378,0.282174,male
0.149827,0.079581,0.129719,1.607156,0.793454,0.017526,0.119851,0.349247,male
0.183793,0.061167,0.092748,1.482752,0.525316,0.214003,0.113754,0.303258,male
0.149192,0.083125,0.132811,2.491131,0.738547,0.015267,0.121152,0.30827,male
0.1554,0.082615,0.126941,2.822129,0.650573,0.015446,0.115707,0.212858,male
0.167347,0.07174,0.099337,1.80135,0.667931,0.20577,0.104839,0.228002,male
0.166613,0.068155,0.095883,1.805597,0.555786,0.183227,0.093218,0.118564,male
0.149993,0.077529,0.105049,2.660891,0.685496,0.016402,0.107672,0.220859,male
0.173168,0.06885,0.1104,1.191048,0.598206,0.208267,0.109008,0.341595,male
0.177642,0.059646,0.103158,1.184981,0.50866,0.122443,0.120185,0.165427,male
0.173184,0.063167,0.106244,3.037254,0.465367,0.223524,0.116419,0.321429,male
0.163668,0.065648,0.109268,2.303394,0.608047,0.220656,0.107101,0.168564,male
0.185592,0.061366,0.109191,1.245637,0.40922,0.211737,0.117565,0.358065,male
0.163194,0.067451,0.10954,2.278882,0.554522,0.211931,0.103156,0.264128,male
0.17494,0.061581,0.105694,1.729981,0.462425,0.215146,0.111501,0.216667,male
0.177702,0.061282,0.100997,2.814455,0.467147,0.213284,0.11049,0.146896,male
0.188637,0.064048,0.114241,1.444444,0.445586,0.115405,0.116298,0.125367,male
0.17822,0.064002,0.107023,1.612146,0.535276,0.214568,0.113219,0.294288,male
0.174806,0.061149,0.106244,2.522161,0.480294,0.223308,0.105128,0.204582,male
0.099424,0.071472,0.092851,1.94818,0.670205,0,0.105465,0.118881,male
0.124062,0.080143,0.154611,3.532721,0.656899,0,0.116308,0.252,male
0.11634,0.077254,0.149539,2.775975,0.658518,0,0.118943,0.122392,male
0.128033,0.074462,0.11887,3.851646,0.64284,0,0.102382,0.483376,male
0.124883,0.077808,0.132135,3.99039,0.617386,0,0.116251,0.198157,male
0.136521,0.07863,0.119117,4.536263,0.542517,0,0.119859,0.200265,male
0.213732,0.057705,0.116283,2.113598,0.084934,0.248978,0.133667,0.229051,male
0.120883,0.08162,0.161339,3.457742,0.631719,0,0.11593,0.089597,male
0.130656,0.079523,0.142919,3.579992,0.692133,0,0.115237,0.245179,male
0.141769,0.076514,0.118901,3.380194,0.588819,0,0.11639,0.412281,male
0.11082,0.07954,0.136268,4.11744,0.691744,0,0.127758,0.086373,male
0.11342,0.080006,0.149966,2.621061,0.671153,0,0.104197,0.174344,male
0.117323,0.078195,0.145331,2.573538,0.651739,0,0.114503,0.26186,male
0.122911,0.074868,0.133394,3.938108,0.611827,0,0.12177,0.087861,male
0.122218,0.079697,0.149594,2.587157,0.745818,0,0.124954,0.198467,male
0.12011,0.084088,0.164093,2.816411,0.777627,0,0.1057,0.21193,male
0.130001,0.079187,0.140223,3.749082,0.614026,0,0.111934,0.167846,male
0.122233,0.074669,0.115886,4.227553,0.724311,0,0.103553,0.152404,male
0.110311,0.077134,0.126083,3.244933,0.696184,0,0.092952,0.194419,male
0.108407,0.069611,0.099754,2.379756,0.719183,0,0.106848,0.138619,male
0.125249,0.09235,0.184731,33.566338,0.51583,0,0.102683,0,male
0.118449,0.085713,0.167531,29.679276,0.492974,0,0.093241,0,male
0.137523,0.088725,0.130122,31.951459,0.544185,0,0.09014,0,male
0.120008,0.086559,0.183235,27.722046,0.504159,0,0.078679,0,male
0.12419,0.088596,0.169601,28.830572,0.509976,0,0.084083,0,male
0.134335,0.088072,0.14349,28.848656,0.581754,0,0.097809,0,male
0.126626,0.088278,0.15493,28.274954,0.53517,0,0.08923,0,male
0.130312,0.084918,0.125523,31.723464,0.49998,0,0.105474,0,male
0.131091,0.087341,0.144075,34.537488,0.529941,0,0.097032,0,male
0.112516,0.089504,0.18619,24.706226,0.46839,0,0.075519,0,male
0.224382,0.048547,0.034809,3.095413,0.130449,0.2349,0.138002,0.176654,male
0.221102,0.047604,0.03383,3.324167,0.126989,0.250097,0.116978,0.084481,male
0.219194,0.046845,0.036766,4.030289,0.139624,0.23448,0.118713,0.125222,male
0.22019,0.049785,0.048823,3.141334,0.140361,0.232111,0.127353,0.17447,male
0.225582,0.046059,0.023859,3.577312,0.119673,0.241671,0.12686,0.080467,male
0.223092,0.044697,0.021841,4.960313,0.117216,0.234961,0.125255,0.083457,male
0.222859,0.047353,0.031748,3.90829,0.188841,0.23718,0.126728,0.107244,male
0.225012,0.048524,0.035045,3.62309,0.129618,0.23586,0.121583,0.134458,male
0.220832,0.044109,0.027522,3.814244,0.137675,0.234228,0.110794,0.135384,male
0.221885,0.047789,0.036618,3.04184,0.137412,0.235888,0.12442,0.118563,male
0.14648,0.07187,0.104042,2.633711,0.643325,0.185904,0.094743,0.319624,male
0.150396,0.074239,0.11416,2.171709,0.6311,0.117438,0.115598,0.149756,male
0.140897,0.073719,0.108368,1.916411,0.649326,0.017183,0.097979,0.301971,male
0.143252,0.070689,0.107401,2.066931,0.639476,0.097505,0.118828,0.093306,male
0.142018,0.071383,0.108663,2.462172,0.613985,0.017134,0.108932,0.070972,male
0.145988,0.073631,0.116569,1.513061,0.683323,0.017177,0.116721,0.256865,male
0.140008,0.072244,0.110922,1.78669,0.673342,0.091972,0.118013,0.288491,male
0.138608,0.071199,0.104422,2.630464,0.654942,0.095042,0.104231,0.099262,male
0.14306,0.071637,0.103116,2.287804,0.58308,0.096713,0.098502,0.160529,male
0.151401,0.075805,0.119369,1.394139,0.729505,0.017112,0.104354,0.221388,male
0.166702,0.07207,0.12049,3.449502,0.539779,0,0.114927,0.117088,male
0.163451,0.07401,0.117126,5.228185,0.536715,0,0.108935,0.116946,male
0.159684,0.072785,0.115333,12.525916,0.655374,0,0.12324,0.186655,male
0.166783,0.071762,0.118575,5.634014,0.580292,0,0.108613,0.150062,male
0.165368,0.074977,0.120473,12.138918,0.62025,0,0.118109,0.186526,male
0.167168,0.071987,0.112358,7.283484,0.59984,0,0.108212,0.121942,male
0.165823,0.076978,0.122578,8.389658,0.710752,0,0.129392,0.270793,male
0.169675,0.073017,0.118969,5.57893,0.530061,0,0.122059,0.42451,male
0.165045,0.076173,0.119404,9.609349,0.62167,0,0.102042,0.099131,male
0.16706,0.073204,0.116377,8.69723,0.61963,0,0.116108,0.217073,male
0.169344,0.068844,0.114402,1.816953,0.584807,0.135049,0.11335,0.14267,male
0.161393,0.066491,0.094706,1.328245,0.666715,0.175229,0.11572,0.205884,male
0.176992,0.058681,0.100789,1.252889,0.449683,0.139172,0.136281,0.290789,male
0.171409,0.062125,0.107968,1.168744,0.470957,0.140276,0.129018,0.131907,male
0.075701,0.089599,0.136663,11.669905,0.411128,0.000801,0.106944,0.119803,male
0.048254,0.070167,0.05004,3.289199,0.300592,0.060048,0.100127,0.069912,male
0.059645,0.072837,0.06758,5.638914,0.418733,0.001303,0.104004,0.087423,male
0.097464,0.093731,0.150543,10.812681,0.533373,0.060057,0.089682,0.105927,male
0.062182,0.087889,0.115678,9.612208,0.32957,0.00089,0.099776,0.105778,male
0.080571,0.091954,0.142966,6.824624,0.438149,0.00089,0.092098,0.101463,male
0.079369,0.08865,0.141531,9.013217,0.450205,0.001413,0.095733,0.065555,male
0.084807,0.090036,0.145166,9.784335,0.488359,0.000775,0.094071,0.127982,male
0.213732,0.057705,0.116283,2.113598,0.084934,0.248978,0.133667,0.229051,male
0.199321,0.052499,0.105826,2.311426,0.08974,0.275299,0.134527,0.156099,male
0.198694,0.046656,0.080337,1.653871,0.102732,0.164881,0.14704,0.16869,male
0.2019,0.048561,0.094307,1.064004,0.105183,0.154438,0.149086,0.159401,male
0.203617,0.053489,0.101949,1.9434,0.094455,0.258482,0.142237,0.245057,male
0.209632,0.04931,0.087642,1.717957,0.096347,0.277599,0.14102,0.069045,male
0.208581,0.041747,0.048162,2.102108,0.080963,0.22204,0.172847,0.022167,male
0.195323,0.05768,0.085039,3.141472,0.241945,0,0.123181,0.361187,male
0.193205,0.056827,0.091356,1.937745,0.226079,0,0.129797,0.142722,male
0.199662,0.061042,0.119335,2.952942,0.194141,0,0.113574,0.304367,male
0.196418,0.057498,0.110029,2.610695,0.184081,0,0.13298,0.310714,male
0.206393,0.053197,0.062272,2.101238,0.181529,0,0.114972,0.353535,male
0.197426,0.054829,0.085415,2.336614,0.178963,0,0.136302,0.305729,male
0.20508,0.056944,0.099967,2.60053,0.178778,0,0.116405,0.107363,male
0.161386,0.06262,0.106705,3.682161,0.482138,0.107307,0.11401,0.337748,male
0.154383,0.06126,0.102246,3.503029,0.468228,0.100749,0.103079,0.322452,male
0.152651,0.061781,0.103346,2.68637,0.507183,0.101245,0.09329,0.609914,male
0.156606,0.060295,0.104267,3.437859,0.466106,0.102312,0.101872,0.215897,male
0.157601,0.061523,0.103063,2.080085,0.549759,0.200086,0.109531,0.361348,male
0.157013,0.061556,0.103136,2.641514,0.520469,0.103136,0.098984,0.534776,male
0.155076,0.060755,0.100825,2.569241,0.542239,0.099355,0.102148,0.46879,male
0.154978,0.061426,0.102785,2.932944,0.527571,0.103827,0.105192,0.473907,male
0.153218,0.060856,0.101508,4.147506,0.480389,0.200457,0.097749,0.140789,male
0.152133,0.061716,0.102209,3.131853,0.520398,0.096679,0.090285,0.366273,male
0.154434,0.061416,0.103431,3.019968,0.459831,0.099536,0.094673,0.306149,male
0.156931,0.060938,0.105797,2.94636,0.479164,0.095812,0.097639,0.377597,male
0.158181,0.061391,0.103587,3.805548,0.479236,0.102332,0.105425,0.236487,male
0.1539,0.063619,0.105026,2.588324,0.537051,0.198084,0.10259,0.185338,male
0.153905,0.061882,0.102788,3.094404,0.506675,0.098309,0.105293,0.270102,male
0.154345,0.061858,0.104453,2.791509,0.524902,0.103827,0.100617,0.269394,male
0.160862,0.060496,0.104168,3.780401,0.424228,0.103385,0.109946,0.54319,male
0.158374,0.061827,0.104606,3.108912,0.510424,0.102926,0.109043,0.328832,male
0.154637,0.060654,0.101779,3.455839,0.471312,0.197117,0.102158,0.633584,male
0.158009,0.061591,0.106949,2.524324,0.477634,0.103435,0.10389,0.328244,male
0.158994,0.061619,0.104563,3.12804,0.483818,0.207156,0.11035,0.384832,male
0.166103,0.063619,0.106697,2.738827,0.473355,0.096135,0.097768,0.38,male
