@relation 'voice-weka.filters.unsupervised.attribute.Remove-V-R6,9-10,13,17,21'

@attribute IQR numeric
@attribute sp.ent numeric
@attribute sfm numeric
@attribute meanfun numeric
@attribute mindom numeric
@attribute label {male,female}

@data
0.117972,0.921132,0.582531,0.120254,0.007813,male
0.073505,0.903982,0.482886,0.142748,0.007813,male
0.119562,0.878207,0.470044,0.138904,0.132813,male
0.072689,0.869836,0.429786,0.131376,0.007813,male
0.117076,0.911851,0.514601,0.127529,0.007813,male
0.114911,0.89357,0.424254,0.141183,0.007813,male
0.116246,0.940659,0.611977,0.081564,0.007813,male
0.112736,0.937849,0.592123,0.101681,0.007813,male
0.112427,0.946349,0.629272,0.095597,0.085938,male
0.112082,0.926522,0.567621,0.101719,0.007813,male
0.105475,0.942626,0.635853,0.097532,0.007813,male
0.113372,0.932415,0.567913,0.08046,0.007813,male
0.116804,0.948383,0.632579,0.055565,0.03125,male
0.114745,0.94219,0.613578,0.101395,0.007813,male
0.11417,0.963294,0.727047,0.076307,0.03125,male
0.117357,0.966685,0.753188,0.098873,0.007813,male
0.112716,0.948417,0.682988,0.090751,0.015625,male
0.11047,0.964873,0.73429,0.101395,0.007813,male
0.111452,0.966588,0.7448,0.10932,0.039063,male
0.11704,0.954711,0.684617,0.112256,0.007813,male
0.123988,0.964925,0.739368,0.10367,0.007813,male
0.117007,0.971907,0.763638,0.10325,0.007813,male
0.18461,0.931661,0.549218,0.130888,0.007813,male
0.178856,0.952514,0.659814,0.134314,0.007813,male
0.100261,0.970194,0.754552,0.117359,0.007813,male
0.144108,0.948496,0.670633,0.114743,0.007813,male
0.109504,0.942279,0.610171,0.120815,0.09375,male
0.136423,0.940729,0.585175,0.11026,0.007813,male
0.144821,0.946595,0.621392,0.103803,0.007813,male
0.137113,0.943405,0.595128,0.117022,0.007813,male
0.130093,0.946134,0.631689,0.131734,0.007813,male
0.12509,0.949959,0.646653,0.117298,0.007813,male
0.04525,0.880375,0.344307,0.14181,0.125,male
0.06189,0.920513,0.403866,0.121546,0.070313,male
0.070208,0.910321,0.358023,0.130983,0.007813,male
0.075272,0.92364,0.485118,0.132089,0.007813,male
0.107923,0.909837,0.395328,0.132075,0.007813,male
0.11318,0.934858,0.520926,0.102626,0.21875,male
0.050866,0.907683,0.386818,0.165155,0.070313,male
0.11208,0.912216,0.507886,0.081165,0.007813,male
0.063685,0.918001,0.362344,0.152013,0.007813,male
0.104587,0.902247,0.298599,0.138198,0.125,male
0.07545,0.932835,0.427755,0.133717,0.007813,male
0.076879,0.914634,0.412919,0.159107,0.15625,male
0.066824,0.934061,0.512562,0.149387,0.007813,male
0.104778,0.934323,0.467826,0.139378,0.078125,male
0.056886,0.907215,0.302814,0.147351,0.140625,male
0.092313,0.922524,0.394561,0.168038,0.148438,male
0.095566,0.907622,0.319069,0.080595,0.09375,male
0.085274,0.927145,0.296277,0.081017,0.09375,male
0.075504,0.912414,0.284872,0.065827,0.09375,male
0.093493,0.929916,0.381853,0.078363,0.09375,male
0.09417,0.924099,0.314006,0.063475,0.09375,male
0.088632,0.9148,0.299863,0.083128,0.007813,male
0.07183,0.909693,0.295222,0.081505,0.007813,male
0.081085,0.903755,0.271601,0.112023,0.007813,male
0.081906,0.905979,0.307965,0.072136,0.09375,male
0.094526,0.911215,0.257629,0.073051,0.09375,male
0.150088,0.901914,0.562834,0.091147,0.007813,male
0.165478,0.8933,0.553553,0.087918,0.007813,male
0.163778,0.891348,0.576778,0.075907,0.007813,male
0.154566,0.883926,0.604149,0.092961,0.007813,male
0.12135,0.906001,0.561684,0.087384,0.007813,male
0.122574,0.900403,0.584464,0.09038,0.007813,male
0.155576,0.939914,0.687643,0.100796,0.007813,male
0.132473,0.854878,0.505371,0.081201,0.007813,male
0.177862,0.852858,0.557142,0.094923,0.007813,male
0.147641,0.908473,0.617015,0.081575,0.007813,male
0.118163,0.919991,0.484101,0.110566,0.007813,male
0.115332,0.937649,0.577807,0.101841,0.007813,male
0.112392,0.933989,0.566987,0.097513,0.09375,male
0.11017,0.95289,0.626023,0.126956,0.007813,male
0.125089,0.923322,0.462385,0.111032,0.007813,male
0.104439,0.909113,0.358371,0.128124,0.109375,male
0.121267,0.912945,0.436573,0.125993,0.070313,male
0.108968,0.927753,0.482047,0.113944,0.070313,male
0.124111,0.909803,0.418645,0.110461,0.007813,male
0.114214,0.926112,0.462042,0.111528,0.078125,male
0.12348,0.921624,0.48264,0.11109,0.007813,male
0.191932,0.812734,0.403256,0.107765,0.007813,male
0.140297,0.870832,0.583471,0.100032,0.007813,male
0.13539,0.920756,0.67625,0.132119,0.007813,male
0.079584,0.84343,0.445144,0.093611,0.007813,male
0.133095,0.882682,0.598327,0.104772,0.007813,male
0.14364,0.939773,0.71647,0.107765,0.007813,male
0.131467,0.920294,0.525147,0.086094,0.070313,male
0.118804,0.922336,0.454643,0.072396,0.070313,male
0.140626,0.921013,0.564292,0.082758,0.070313,male
0.15001,0.904218,0.519067,0.057045,0.070313,male
0.143886,0.913021,0.486051,0.075929,0.070313,male
0.134142,0.921257,0.51932,0.081219,0.070313,male
0.129611,0.913766,0.467166,0.081858,0.070313,male
0.153347,0.906152,0.504633,0.060966,0.070313,male
0.123841,0.919074,0.512956,0.075178,0.070313,male
0.133925,0.91597,0.541932,0.074281,0.070313,male
0.087128,0.916002,0.301161,0.116122,0.195313,male
0.074544,0.902248,0.240631,0.115129,0.140625,male
0.079563,0.899683,0.25188,0.124133,0.148438,male
0.093174,0.903055,0.248022,0.123414,0.171875,male
0.080257,0.905836,0.290656,0.130055,0.171875,male
0.150244,0.959468,0.728939,0.102114,0.007813,male
0.146767,0.96604,0.75955,0.103533,0.007813,male
0.144096,0.961702,0.727935,0.094653,0.007813,male
0.11617,0.927998,0.599908,0.109043,0.007813,male
0.138689,0.960952,0.72381,0.097562,0.007813,male
0.138339,0.965299,0.738215,0.099846,0.007813,male
0.135663,0.962887,0.749296,0.10403,0.007813,male
0.151207,0.959591,0.73526,0.076737,0.007813,male
0.145132,0.958425,0.721548,0.101642,0.007813,male
0.140781,0.956193,0.707622,0.106525,0.007813,male
0.124786,0.937321,0.676823,0.110127,0.007813,male
0.153892,0.937912,0.665251,0.105228,0.007813,male
0.172614,0.927355,0.628398,0.101964,0.007813,male
0.13185,0.967592,0.755378,0.112681,0.007813,male
0.177591,0.929761,0.662277,0.092354,0.007813,male
0.173892,0.906791,0.612515,0.1028,0.007813,male
0.172207,0.910824,0.614425,0.105633,0.007813,male
0.181713,0.90322,0.597357,0.104676,0.007813,male
0.172216,0.878151,0.542785,0.107386,0.007813,male
0.166297,0.934388,0.674844,0.086614,0.007813,male
0.14238,0.9253,0.523066,0.089305,0.070313,male
0.141223,0.918984,0.526704,0.079046,0.070313,male
0.124098,0.919408,0.519774,0.076996,0.070313,male
0.133619,0.91857,0.579548,0.076255,0.070313,male
0.147471,0.914319,0.48376,0.07347,0.070313,male
0.117209,0.926462,0.534102,0.071791,0.070313,male
0.138347,0.915976,0.532476,0.077557,0.070313,male
0.125693,0.920157,0.554993,0.071474,0.070313,male
0.144337,0.915417,0.481694,0.068518,0.070313,male
0.140584,0.926782,0.528599,0.08987,0.070313,male
0.114242,0.937552,0.623611,0.108795,0.078125,male
0.12173,0.961784,0.729937,0.103376,0.007813,male
0.156755,0.966312,0.759154,0.093395,0.007813,male
0.149238,0.969099,0.782449,0.110761,0.007813,male
0.162786,0.966472,0.769193,0.107189,0.007813,male
0.156416,0.969287,0.781729,0.109992,0.007813,male
0.137207,0.968002,0.762243,0.107986,0.007813,male
0.12912,0.959747,0.727327,0.10282,0.007813,male
0.114935,0.94959,0.652265,0.087281,0.007813,male
0.123538,0.895111,0.333553,0.090939,0.007813,male
0.100791,0.931091,0.560896,0.086565,0.007813,male
0.10657,0.93455,0.578405,0.088512,0.007813,male
0.109746,0.927861,0.567241,0.078778,0.007813,male
0.119412,0.934637,0.575084,0.112568,0.007813,male
0.095547,0.933989,0.572281,0.09356,0.007813,male
0.10425,0.933477,0.572291,0.108234,0.078125,male
0.114506,0.932131,0.543657,0.095089,0.007813,male
0.107974,0.931106,0.556354,0.10551,0.007813,male
0.101042,0.93263,0.572082,0.084462,0.007813,male
0.125046,0.931458,0.564359,0.097881,0.007813,male
0.115596,0.968797,0.781834,0.124567,0.007813,male
0.122182,0.965148,0.764574,0.122605,0.007813,male
0.127467,0.971211,0.789685,0.142062,0.007813,male
0.149067,0.961016,0.736413,0.110157,0.015625,male
0.129613,0.962372,0.771881,0.1086,0.023438,male
0.116197,0.975387,0.822587,0.127453,0.007813,male
0.122561,0.955491,0.715342,0.098098,0.023438,male
0.107933,0.967419,0.778549,0.119752,0.007813,male
0.14204,0.951332,0.677629,0.114736,0.007813,male
0.104071,0.919072,0.609237,0.124045,0.015625,male
0.120884,0.946172,0.658351,0.085122,0.023438,male
0.106442,0.945549,0.649529,0.085837,0.007813,male
0.121867,0.951695,0.67771,0.091389,0.007813,male
0.111914,0.966915,0.763373,0.094506,0.007813,male
0.113681,0.951966,0.685155,0.091533,0.007813,male
0.129298,0.970478,0.787403,0.093467,0.007813,male
0.105984,0.943606,0.635588,0.088959,0.007813,male
0.111702,0.953168,0.681603,0.106672,0.007813,male
0.125413,0.972912,0.776357,0.092796,0.007813,male
0.106811,0.953233,0.664847,0.09165,0.007813,male
0.100583,0.945294,0.602794,0.12743,0.007813,male
0.116514,0.964783,0.729355,0.119785,0.109375,male
0.101368,0.953991,0.631997,0.120378,0.007813,male
0.129719,0.974767,0.793454,0.119851,0.007813,male
0.092748,0.9401,0.525316,0.113754,0.179688,male
0.132811,0.962901,0.738547,0.121152,0.34375,male
0.126941,0.945885,0.650573,0.115707,0.007813,male
0.099337,0.950563,0.667931,0.104839,0.054688,male
0.095883,0.931611,0.555786,0.093218,0.1875,male
0.105049,0.951028,0.685496,0.107672,0.15625,male
0.1104,0.944715,0.598206,0.109008,0.023438,male
0.103158,0.939683,0.50866,0.120185,0.09375,male
0.106244,0.910844,0.465367,0.116419,0.007813,male
0.109268,0.940327,0.608047,0.107101,0.007813,male
0.109191,0.924608,0.40922,0.117565,0.117188,male
0.10954,0.927515,0.554522,0.103156,0.007813,male
0.105694,0.927651,0.462425,0.111501,0.007813,male
0.100997,0.914835,0.467147,0.11049,0.007813,male
0.114241,0.925363,0.445586,0.116298,0.007813,male
0.107023,0.934316,0.535276,0.113219,0.09375,male
0.106244,0.920326,0.480294,0.105128,0.007813,male
0.092851,0.954684,0.670205,0.105465,0.007813,male
0.154611,0.944929,0.656899,0.116308,0.007813,male
0.149539,0.94629,0.658518,0.118943,0.007813,male
0.11887,0.935119,0.64284,0.102382,0.007813,male
0.132135,0.927987,0.617386,0.116251,0.007813,male
0.119117,0.91704,0.542517,0.119859,0.007813,male
0.116283,0.859712,0.084934,0.133667,0.132813,male
0.161339,0.941614,0.631719,0.11593,0.007813,male
0.142919,0.954051,0.692133,0.115237,0.007813,male
0.118901,0.926782,0.588819,0.11639,0.007813,male
0.136268,0.953606,0.691744,0.127758,0.007813,male
0.149966,0.95234,0.671153,0.104197,0.007813,male
0.145331,0.945118,0.651739,0.114503,0.007813,male
0.133394,0.932399,0.611827,0.12177,0.007813,male
0.149594,0.963365,0.745818,0.124954,0.007813,male
0.164093,0.968448,0.777627,0.1057,0.007813,male
0.140223,0.934367,0.614026,0.111934,0.007813,male
0.115886,0.953067,0.724311,0.103553,0.007813,male
0.126083,0.954059,0.696184,0.092952,0.007813,male
0.099754,0.958236,0.719183,0.106848,0.007813,male
0.184731,0.829816,0.51583,0.102683,0.007813,male
0.167531,0.826639,0.492974,0.093241,0.007813,male
0.130122,0.864396,0.544185,0.09014,0.007813,male
0.183235,0.824685,0.504159,0.078679,0.007813,male
0.169601,0.835282,0.509976,0.084083,0.007813,male
0.14349,0.875223,0.581754,0.097809,0.007813,male
0.15493,0.847263,0.53517,0.08923,0.007813,male
0.125523,0.847654,0.49998,0.105474,0.007813,male
0.144075,0.853332,0.529941,0.097032,0.007813,male
0.18619,0.802274,0.46839,0.075519,0.007813,male
0.034809,0.858363,0.130449,0.138002,0.007813,male
0.03383,0.848937,0.126989,0.116978,0.242188,male
0.036766,0.860989,0.139624,0.118713,0.242188,male
0.048823,0.866145,0.140361,0.127353,0.242188,male
0.023859,0.84624,0.119673,0.12686,0.242188,male
0.021841,0.835677,0.117216,0.125255,0.21875,male
0.031748,0.853147,0.188841,0.126728,0.242188,male
0.035045,0.858114,0.129618,0.121583,0.242188,male
0.027522,0.849701,0.137675,0.110794,0.242188,male
0.036618,0.855784,0.137412,0.12442,0.015625,male
0.104042,0.947231,0.643325,0.094743,0.007813,male
0.11416,0.948532,0.6311,0.115598,0.023438,male
0.108368,0.946765,0.649326,0.097979,0.007813,male
0.107401,0.944218,0.639476,0.118828,0.007813,male
0.108663,0.940602,0.613985,0.108932,0.007813,male
0.116569,0.956194,0.683323,0.116721,0.007813,male
0.110922,0.952817,0.673342,0.118013,0.007813,male
0.104422,0.94729,0.654942,0.104231,0.007813,male
0.103116,0.935944,0.58308,0.098502,0.007813,male
0.119369,0.96454,0.729505,0.104354,0.007813,male
0.12049,0.935527,0.539779,0.114927,0.007813,male
0.117126,0.930444,0.536715,0.108935,0.007813,male
0.115333,0.952797,0.655374,0.12324,0.007813,male
0.118575,0.942253,0.580292,0.108613,0.007813,male
0.120473,0.946306,0.62025,0.118109,0.007813,male
0.112358,0.945347,0.59984,0.108212,0.007813,male
0.122578,0.962937,0.710752,0.129392,0.007813,male
0.118969,0.913464,0.530061,0.122059,0.007813,male
0.119404,0.942461,0.62167,0.102042,0.007813,male
0.116377,0.948292,0.61963,0.116108,0.007813,male
0.114402,0.948781,0.584807,0.11335,0.078125,male
0.094706,0.960268,0.666715,0.11572,0.0625,male
0.100789,0.928121,0.449683,0.136281,0.007813,male
0.107968,0.929481,0.470957,0.129018,0.007813,male
0.136663,0.812499,0.411128,0.106944,0.007813,male
0.05004,0.830441,0.300592,0.100127,0.007813,male
0.06758,0.872789,0.418733,0.104004,0.007813,male
0.150543,0.878622,0.533373,0.089682,0.007813,male
0.115678,0.78665,0.32957,0.099776,0.007813,male
0.142966,0.849853,0.438149,0.092098,0.007813,male
0.141531,0.834213,0.450205,0.095733,0.007813,male
0.145166,0.846837,0.488359,0.094071,0.007813,male
0.116283,0.859712,0.084934,0.133667,0.132813,male
0.105826,0.882884,0.08974,0.134527,0.007813,male
0.080337,0.909939,0.102732,0.14704,0.007813,male
0.094307,0.915009,0.105183,0.149086,0.164063,male
0.101949,0.890804,0.094455,0.142237,0.007813,male
0.087642,0.905174,0.096347,0.14102,0.007813,male
0.048162,0.890014,0.080963,0.172847,0.21875,male
0.085039,0.906541,0.241945,0.123181,0.007813,male
0.091356,0.914533,0.226079,0.129797,0.007813,male
0.119335,0.892992,0.194141,0.113574,0.007813,male
0.110029,0.893888,0.184081,0.13298,0.007813,male
0.062272,0.885105,0.181529,0.114972,0.007813,male
0.085415,0.894157,0.178963,0.136302,0.007813,male
0.099967,0.888147,0.178778,0.116405,0.007813,male
0.106705,0.897276,0.482138,0.11401,0.004883,male
0.102246,0.896993,0.468228,0.103079,0.004883,male
0.103346,0.913229,0.507183,0.09329,0.078125,male
0.104267,0.898751,0.466106,0.101872,0.092773,male
0.103063,0.933424,0.549759,0.109531,0.458984,male
0.103136,0.924993,0.520469,0.098984,0.107422,male
0.100825,0.933406,0.542239,0.102148,0.092773,male
0.102785,0.920616,0.527571,0.105192,0.107422,male
0.101508,0.895639,0.480389,0.097749,0.205078,male
0.102209,0.915751,0.520398,0.090285,0.078125,male
0.103431,0.897214,0.459831,0.094673,0.205078,male
0.105797,0.907679,0.479164,0.097639,0.097656,male
0.103587,0.90184,0.479236,0.105425,0.102539,male
0.105026,0.926635,0.537051,0.10259,0.092773,male
0.102788,0.915279,0.506675,0.105293,0.097656,male
0.104453,0.920559,0.524902,0.100617,0.107422,male
0.104168,0.884453,0.424228,0.109946,0.107422,male
0.104606,0.916287,0.510424,0.109043,0.078125,male
0.101779,0.895792,0.471312,0.102158,0.097656,male
0.106949,0.906574,0.477634,0.10389,0.102539,male
0.104563,0.908233,0.483818,0.11035,0.097656,male
0.106697,0.911917,0.473355,0.097768,0.112305,male
0.107129,0.906473,0.470658,0.105014,0.004883,male
0.107053,0.885641,0.42744,0.111861,0.107422,male
0.105189,0.918321,0.509725,0.091152,0.019531,male
0.104753,0.900796,0.446517,0.101788,0.092773,male
0.105379,0.913988,0.489086,0.088531,0.107422,male
0.103673,0.89846,0.494613,0.097181,0.004883,male
0.102506,0.913547,0.531077,0.1002,0.043945,male
0.102716,0.934254,0.59427,0.108183,0.073242,male
0.103282,0.918291,0.538131,0.099571,0.004883,male
0.103887,0.913726,0.525021,0.108237,0.112305,male
0.106647,0.926853,0.517628,0.093788,0.004883,male
0.103069,0.914717,0.493013,0.103934,0.092773,male
0.105327,0.925988,0.512159,0.112262,0.004883,male
0.104678,0.904559,0.482941,0.112817,0.112305,male
0.101524,0.923024,0.526395,0.115249,0.092773,male
0.103643,0.921978,0.51019,0.101953,0.097656,male
0.101938,0.906702,0.480162,0.100368,0.107422,male
0.103202,0.912674,0.512342,0.104481,0.083008,male
0.10473,0.900075,0.464995,0.108777,0.004883,male
0.108341,0.913928,0.49619,0.097874,0.004883,male
0.106306,0.912989,0.498742,0.097572,0.014648,male
0.113505,0.963072,0.735317,0.09722,0.03125,male
0.113378,0.971514,0.784796,0.107672,0.039063,male
0.116679,0.965021,0.74182,0.10903,0.007813,male
0.116496,0.975144,0.804982,0.111297,0.039063,male
0.115081,0.965833,0.738276,0.120491,0.007813,male
0.114758,0.958008,0.693905,0.107117,0.039063,male
0.113191,0.964332,0.753936,0.118678,0.007813,male
0.16623,0.894506,0.460903,0.111859,0.007813,male
0.12054,0.9645,0.75574,0.096002,0.023438,male
0.131677,0.97471,0.787453,0.115785,0.007813,male
0.160665,0.955169,0.704673,0.103756,0.007813,male
0.127801,0.961066,0.718138,0.119185,0.007813,male
0.156462,0.958015,0.722671,0.116696,0.007813,male
0.143707,0.969127,0.765034,0.116054,0.007813,male
0.150974,0.964781,0.737072,0.103769,0.007813,male
0.117538,0.93143,0.52256,0.121784,0.125,male
0.115979,0.940865,0.607602,0.120165,0.039063,male
0.111539,0.915249,0.461751,0.114544,0.03125,male
0.112857,0.852594,0.320577,0.108871,0.21875,male
0.116426,0.937182,0.624363,0.095246,0.15625,male
0.110116,0.923242,0.464031,0.098694,0.164063,male
0.119197,0.88923,0.364435,0.10925,0.117188,male
0.108856,0.934298,0.521624,0.11307,0.140625,male
0.115385,0.945836,0.637708,0.116113,0.03125,male
0.113031,0.934454,0.582426,0.111375,0.0625,male
0.100543,0.911917,0.394777,0.112744,0.21875,male
0.121739,0.923294,0.521869,0.116147,0.140625,male
0.118502,0.933552,0.556295,0.111736,0.171875,male
0.096231,0.932169,0.547924,0.112381,0.132813,male
0.110164,0.935143,0.551246,0.110858,0.132813,male
0.105045,0.948156,0.667932,0.113349,0.085938,male
0.143077,0.946083,0.683197,0.11541,0.125,male
0.116308,0.92266,0.485928,0.120016,0.140625,male
0.123241,0.961564,0.766334,0.105102,0.148438,male
0.117313,0.945225,0.623388,0.115889,0.132813,male
0.110469,0.883654,0.29967,0.105156,0.171875,male
0.101771,0.929502,0.47905,0.111049,0.117188,male
0.114878,0.923131,0.482685,0.118456,0.101563,male
0.11737,0.934562,0.545496,0.111075,0.007813,male
0.095128,0.940173,0.554799,0.115975,0.101563,male
0.106102,0.928365,0.494915,0.119043,0.140625,male
0.104932,0.925583,0.414582,0.119633,0.007813,male
0.105494,0.926154,0.422316,0.113398,0.007813,male
0.100489,0.935581,0.531704,0.101646,0.148438,male
0.110446,0.935004,0.524517,0.120294,0.007813,male
0.125603,0.970192,0.773892,0.11417,0.023438,male
0.10904,0.933477,0.475608,0.11236,0.140625,male
0.103897,0.930985,0.500405,0.116028,0.007813,male
0.110545,0.920806,0.453016,0.120208,0.132813,male
0.118734,0.921747,0.461691,0.119255,0.125,male
0.118072,0.893878,0.385325,0.112889,0.125,male
0.115979,0.89768,0.428106,0.126094,0.007813,male
0.100769,0.921531,0.501477,0.121836,0.148438,male
0.109778,0.915364,0.409356,0.110042,0.164063,male
0.123079,0.954795,0.702349,0.111157,0.023438,male
0.098977,0.914325,0.398674,0.10847,0.125,male
0.098408,0.912176,0.416085,0.109011,0.007813,male
0.093797,0.932726,0.465218,0.105533,0.117188,male
0.113161,0.892264,0.443867,0.109372,0.140625,male
0.106061,0.91396,0.413604,0.104114,0.125,male
0.105128,0.941625,0.598041,0.104612,0.007813,male
0.106364,0.930271,0.479641,0.110114,0.148438,male
0.103298,0.922075,0.480801,0.106557,0.1875,male
0.108401,0.921104,0.479038,0.110244,0.125,male
0.113618,0.91349,0.397266,0.115311,0.125,male
0.124037,0.930795,0.627398,0.116569,0.125,male
0.115452,0.907514,0.353634,0.113586,0.125,male
0.116127,0.942743,0.634739,0.101098,0.007813,male
0.107946,0.901328,0.38484,0.110265,0.132813,male
0.121739,0.867338,0.283762,0.120147,0.148438,male
0.103285,0.892651,0.358772,0.118526,0.125,male
0.110556,0.92276,0.461581,0.102835,0.117188,male
0.106884,0.90869,0.391551,0.107315,0.210938,male
0.112101,0.92186,0.580524,0.107974,0.132813,male
0.103784,0.89689,0.383985,0.114696,0.125,male
0.118553,0.893659,0.40476,0.109506,0.148438,male
0.115294,0.933652,0.535863,0.10113,0.140625,male
0.111034,0.876003,0.362724,0.124619,0.140625,male
0.119426,0.945723,0.659248,0.109865,0.046875,male
0.106842,0.908796,0.392241,0.110385,0.132813,male
0.154257,0.968623,0.758297,0.106217,0.070313,male
0.112743,0.946217,0.637123,0.120868,0.007813,male
0.108259,0.920989,0.419248,0.115489,0.132813,male
0.112574,0.914561,0.438333,0.114291,0.15625,male
0.094572,0.92589,0.52852,0.114168,0.15625,male
0.123338,0.94248,0.640311,0.118449,0.1875,male
0.117394,0.924544,0.533617,0.109308,0.007813,male
0.098226,0.897568,0.386047,0.114191,0.203125,male
0.125956,0.911563,0.533184,0.117813,0.132813,male
0.101379,0.914311,0.482246,0.110099,0.164063,male
0.113301,0.922322,0.443907,0.115241,0.007813,male
0.114146,0.940483,0.60245,0.111133,0.03125,male
0.100339,0.922511,0.558088,0.107824,0.15625,male
0.101303,0.913199,0.381898,0.112783,0.226563,male
0.088732,0.940106,0.585042,0.109495,0.15625,male
0.096923,0.920048,0.452823,0.117045,0.148438,male
0.113878,0.914964,0.478307,0.116904,0.1875,male
0.116837,0.960323,0.717652,0.126415,0.039063,male
0.142878,0.842682,0.434538,0.097472,0.007813,male
0.037366,0.81745,0.282282,0.101011,0.007813,male
0.109598,0.952794,0.670802,0.094444,0.015625,male
0.091977,0.964044,0.728978,0.115847,0.007813,male
0.11187,0.964538,0.752012,0.108021,0.007813,male
0.109652,0.904983,0.479155,0.113604,0.007813,male
0.113401,0.968908,0.756297,0.115771,0.007813,male
0.099022,0.96549,0.757001,0.110586,0.007813,male
0.113005,0.963008,0.727981,0.106148,0.007813,male
0.11642,0.963545,0.73646,0.112769,0.007813,male
0.099036,0.956181,0.690305,0.080614,0.007813,male
0.107566,0.952633,0.694812,0.071168,0.007813,male
0.089123,0.95921,0.721284,0.132928,0.007813,male
0.079762,0.904728,0.153505,0.108979,0.140625,male
0.062357,0.899252,0.149988,0.111024,0.007813,male
0.082985,0.913509,0.161601,0.111843,0.101563,male
0.087022,0.913539,0.169766,0.11852,0.007813,male
0.091832,0.910368,0.148897,0.118737,0.007813,male
0.084777,0.915248,0.176672,0.099407,0.101563,male
0.08545,0.889679,0.14381,0.127126,0.101563,male
0.088405,0.895857,0.144397,0.119014,0.148438,male
0.072438,0.889846,0.151429,0.10693,0.101563,male
0.084826,0.912276,0.158159,0.110918,0.101563,male
0.118794,0.915695,0.434247,0.125527,0.046875,male
0.117667,0.92148,0.460856,0.122068,0.125,male
0.127743,0.963778,0.734822,0.129276,0.007813,male
0.127291,0.964797,0.738279,0.124194,0.117188,male
0.129761,0.963549,0.714371,0.127703,0.117188,male
0.113068,0.904168,0.443153,0.100155,0.210938,male
0.114682,0.904792,0.388798,0.123515,0.125,male
0.099816,0.886829,0.308462,0.113921,0.21875,male
0.118937,0.932454,0.577056,0.119849,0.007813,male
0.177788,0.943047,0.6119,0.138233,0.007813,male
0.142567,0.937567,0.568058,0.140525,0.007813,male
0.132768,0.948383,0.647427,0.109005,0.007813,male
0.127298,0.944391,0.634353,0.133457,0.007813,male
0.128468,0.940021,0.601018,0.134082,0.007813,male
0.131996,0.965979,0.74613,0.117863,0.007813,male
0.123783,0.944202,0.639429,0.131519,0.007813,male
0.12173,0.941224,0.608402,0.12449,0.007813,male
0.158676,0.957993,0.698753,0.131859,0.007813,male
0.076188,0.90985,0.198081,0.12769,0.007813,male
0.074329,0.898912,0.191798,0.135308,0.007813,male
0.062871,0.909862,0.190236,0.136643,0.164063,male
0.067295,0.906899,0.184218,0.132458,0.007813,male
0.097411,0.905324,0.188695,0.131116,0.15625,male
0.150557,0.966393,0.751094,0.110489,0.007813,male
0.092444,0.906783,0.180813,0.119024,0.007813,male
0.069812,0.908618,0.186675,0.129064,0.148438,male
0.070775,0.909984,0.188335,0.129058,0.007813,male
0.093778,0.905499,0.173449,0.128289,0.15625,male
0.187074,0.935642,0.633295,0.12362,0.007813,male
0.12059,0.93446,0.580939,0.127236,0.007813,male
0.117023,0.927764,0.537783,0.122719,0.007813,male
0.114785,0.940861,0.610161,0.141772,0.007813,male
0.171119,0.964068,0.738174,0.122976,0.007813,male
0.149927,0.933738,0.575355,0.148467,0.007813,male
