@relation 'voice-weka.filters.unsupervised.attribute.Remove-V-R2-6,10,13,19,21'

@attribute sd numeric
@attribute median numeric
@attribute Q25 numeric
@attribute Q75 numeric
@attribute IQR numeric
@attribute sfm numeric
@attribute meanfun numeric
@attribute dfrange numeric
@attribute label {male,female}

@data
0.076615,0.144824,0.120924,0.237244,0.116319,0.567424,0.098944,3.945313,male
0.075362,0.147018,0.118698,0.240475,0.121777,0.60402,0.082963,1.054688,male
0.075635,0.186468,0.116706,0.238549,0.121843,0.543709,0.082451,3.601563,male
0.071778,0.143168,0.125801,0.248315,0.122515,0.477746,0.130598,0.703125,male
0.072841,0.141739,0.122174,0.24,0.117826,0.539479,0.120052,0.671875,male
0.070867,0.142385,0.129541,0.252477,0.122936,0.313426,0.126607,0.5,male
0.074031,0.158065,0.092731,0.214366,0.121634,0.807552,0.067407,1.015625,male
0.075961,0.142781,0.122075,0.245077,0.123002,0.560407,0.12772,0.625,male
0.071652,0.144192,0.131058,0.256527,0.125469,0.40391,0.132726,0.640625,male
0.071533,0.146471,0.123529,0.247059,0.123529,0.436706,0.124685,4.164063,male
0.073122,0.140183,0.127706,0.252844,0.125138,0.414839,0.124533,0.625,male
0.075273,0.146853,0.121399,0.239371,0.117972,0.582531,0.120254,2.601563,male
0.06722,0.15724,0.136022,0.209526,0.073505,0.482886,0.142748,0.59375,male
0.071505,0.14562,0.132847,0.252409,0.119562,0.470044,0.138904,0.421875,male
0.065952,0.142771,0.134296,0.206985,0.072689,0.429786,0.131376,0.679688,male
0.072023,0.146004,0.128811,0.245887,0.117076,0.514601,0.127529,0.90625,male
0.068428,0.145322,0.131202,0.246113,0.114911,0.424254,0.141183,0.6875,male
0.068161,0.121467,0.097104,0.21335,0.116246,0.611977,0.081564,4.171875,male
0.064489,0.160124,0.116847,0.229583,0.112736,0.592123,0.101681,2.8125,male
0.066496,0.145159,0.099085,0.211512,0.112427,0.629272,0.095597,4.640625,male
0.068873,0.167918,0.115982,0.228065,0.112082,0.567621,0.101719,0.617188,male
0.068117,0.129893,0.094868,0.200343,0.105475,0.635853,0.097532,5.21875,male
0.066217,0.133302,0.111085,0.224457,0.113372,0.567913,0.08046,1.328125,male
0.070031,0.144121,0.110681,0.227485,0.116804,0.632579,0.055565,0.640625,male
0.067564,0.161062,0.104452,0.219197,0.114745,0.613578,0.101395,6.875,male
0.072421,0.119852,0.086531,0.200701,0.11417,0.727047,0.076307,4.632813,male
0.074164,0.12785,0.088915,0.206272,0.117357,0.753188,0.098873,4.65625,male
0.072095,0.112927,0.087645,0.200361,0.112716,0.682988,0.090751,4.429688,male
0.072861,0.124879,0.090724,0.201194,0.11047,0.73429,0.101395,5.148438,male
0.074404,0.134206,0.090594,0.202047,0.111452,0.7448,0.10932,5.789063,male
0.072192,0.144592,0.102439,0.219479,0.11704,0.684617,0.112256,2.695313,male
0.077006,0.137947,0.087859,0.211848,0.123988,0.739368,0.10367,5.421875,male
0.076592,0.135572,0.090608,0.207616,0.117007,0.763638,0.10325,4.984375,male
0.08685,0.118237,0.030685,0.215295,0.18461,0.549218,0.130888,3.71875,male
0.086412,0.126722,0.049986,0.228842,0.178856,0.659814,0.134314,4.289063,male
0.072835,0.081725,0.044092,0.144353,0.100261,0.754552,0.117359,4.335938,male
0.080117,0.114191,0.057306,0.201415,0.144108,0.670633,0.114743,4.289063,male
0.070275,0.123869,0.101733,0.211236,0.109504,0.610171,0.120815,4.46875,male
0.085447,0.125353,0.096229,0.232652,0.136423,0.585175,0.11026,4.5625,male
0.087864,0.129721,0.088967,0.233788,0.144821,0.621392,0.103803,4.96875,male
0.084432,0.143149,0.112315,0.249428,0.137113,0.595128,0.117022,4.570313,male
0.083107,0.129292,0.09807,0.228163,0.130093,0.631689,0.131734,2.710938,male
0.080922,0.124305,0.097152,0.222242,0.12509,0.646653,0.117298,4.054688,male
0.047178,0.161802,0.135475,0.180725,0.04525,0.344307,0.14181,6.796875,male
0.052594,0.163262,0.128476,0.190366,0.06189,0.403866,0.121546,6.5,male
0.054289,0.176772,0.14642,0.216629,0.070208,0.358023,0.130983,5.132813,male
0.058883,0.159934,0.125607,0.20088,0.075272,0.485118,0.132089,6.835938,male
0.061287,0.148691,0.125556,0.233479,0.107923,0.395328,0.132075,0.671875,male
0.064426,0.181705,0.107563,0.220742,0.11318,0.520926,0.102626,4.984375,male
0.053066,0.210059,0.185332,0.236198,0.050866,0.386818,0.165155,5.523438,male
0.066633,0.102873,0.085061,0.197141,0.11208,0.507886,0.081165,2.164063,male
0.051696,0.19141,0.1569,0.220584,0.063685,0.362344,0.152013,6.710938,male
0.056499,0.176109,0.143045,0.247632,0.104587,0.298599,0.138198,6.515625,male
0.055494,0.183431,0.1509,0.22635,0.07545,0.427755,0.133717,6.992188,male
0.055815,0.210792,0.166599,0.243478,0.076879,0.412919,0.159107,6.234375,male
0.055524,0.173151,0.148266,0.21509,0.066824,0.512562,0.149387,6.554688,male
0.062447,0.189809,0.133774,0.238551,0.104778,0.467826,0.139378,6.648438,male
0.048975,0.176618,0.152603,0.209489,0.056886,0.302814,0.147351,6.679688,male
0.057606,0.204407,0.156131,0.248444,0.092313,0.394561,0.168038,6.445313,male
0.057123,0.208775,0.139673,0.235239,0.095566,0.319069,0.080595,0.335938,male
0.05393,0.203384,0.154049,0.239323,0.085274,0.296277,0.081017,0.28125,male
0.051862,0.202495,0.15319,0.228694,0.075504,0.284872,0.065827,0.5625,male
0.058335,0.206198,0.149365,0.242859,0.093493,0.381853,0.078363,0.5625,male
0.056285,0.20843,0.148161,0.242332,0.09417,0.314006,0.063475,0.273438,male
0.054969,0.202233,0.152485,0.241116,0.088632,0.299863,0.083128,1.976563,male
0.052351,0.201536,0.163791,0.235621,0.07183,0.295222,0.081505,3.234375,male
0.054554,0.214516,0.155806,0.236891,0.081085,0.271601,0.112023,2.0625,male
0.056755,0.210616,0.159707,0.241613,0.081906,0.307965,0.072136,0.328125,male
0.054642,0.218516,0.162993,0.257518,0.094526,0.257629,0.073051,0.289063,male
0.079528,0.111176,0.046735,0.196824,0.150088,0.562834,0.091147,0,male
0.081247,0.102789,0.022764,0.188243,0.165478,0.553553,0.087918,0,male
0.081313,0.102788,0.025164,0.188941,0.163778,0.576778,0.075907,0,male
0.083083,0.106214,0.04552,0.200087,0.154566,0.604149,0.092961,0,male
0.080918,0.061245,0.008307,0.129657,0.12135,0.561684,0.087384,0.007813,male
0.082882,0.116964,0.082283,0.204857,0.122574,0.584464,0.09038,0,male
0.0838,0.086859,0.017592,0.173168,0.155576,0.687643,0.100796,0.015625,male
0.081471,0.109892,0.060215,0.192688,0.132473,0.505371,0.081201,0,male
0.086955,0.100671,0.014088,0.19195,0.177862,0.557142,0.094923,0,male
0.080508,0.098246,0.029201,0.176842,0.147641,0.617015,0.081575,0,male
0.06693,0.140971,0.124471,0.242634,0.118163,0.484101,0.110566,0.828125,male
0.06486,0.149954,0.111654,0.226986,0.115332,0.577807,0.101841,0.65625,male
0.068627,0.173489,0.098833,0.211225,0.112392,0.566987,0.097513,6.335938,male
0.067179,0.148101,0.118938,0.229108,0.11017,0.626023,0.126956,3.3125,male
0.067855,0.163195,0.121223,0.246312,0.125089,0.462385,0.111032,2.570313,male
0.058486,0.161785,0.125584,0.230023,0.104439,0.358371,0.128124,0.242188,male
0.065368,0.164454,0.126415,0.247681,0.121267,0.436573,0.125993,5.773438,male
0.06244,0.149581,0.120123,0.229091,0.108968,0.482047,0.113944,0.375,male
0.065039,0.166649,0.117105,0.241215,0.124111,0.418645,0.110461,5.789063,male
0.063307,0.14577,0.116569,0.230782,0.114214,0.462042,0.111528,0.359375,male
0.068168,0.142837,0.115805,0.239285,0.12348,0.48264,0.11109,5.585938,male
0.093199,0.13524,0.0251,0.217032,0.191932,0.403256,0.107765,0,male
0.085695,0.131992,0.025805,0.166102,0.140297,0.583471,0.100032,0,male
0.084951,0.114281,0.024021,0.159411,0.13539,0.67625,0.132119,0.007813,male
0.078965,0.149948,0.097296,0.17688,0.079584,0.445144,0.093611,0,male
0.084571,0.140901,0.043431,0.176526,0.133095,0.598327,0.104772,0.4375,male
0.084279,0.095355,0.028873,0.172513,0.14364,0.71647,0.107765,0,male
0.070559,0.175711,0.09544,0.226907,0.131467,0.525147,0.086094,0,male
0.066636,0.191033,0.107888,0.226693,0.118804,0.454643,0.072396,0.640625,male
0.073335,0.173655,0.095335,0.235961,0.140626,0.564292,0.082758,0.4375,male
0.076269,0.172965,0.089418,0.239428,0.15001,0.519067,0.057045,0,male
0.072829,0.184861,0.097023,0.240908,0.143886,0.486051,0.075929,0.179688,male
0.070774,0.179442,0.097629,0.231771,0.134142,0.51932,0.081219,0.140625,male
0.069783,0.182238,0.097421,0.227032,0.129611,0.467166,0.081858,3.09375,male
0.076585,0.172627,0.0875,0.240847,0.153347,0.504633,0.060966,0,male
0.070912,0.178468,0.101818,0.225659,0.123841,0.512956,0.075178,0.203125,male
0.070317,0.16568,0.093609,0.227535,0.133925,0.541932,0.074281,0.171875,male
0.0538,0.220239,0.155452,0.24258,0.087128,0.301161,0.116122,4.09375,male
0.052698,0.226468,0.175271,0.249815,0.074544,0.240631,0.115129,6.109375,male
0.053447,0.236923,0.175015,0.254578,0.079563,0.25188,0.124133,6.304688,male
0.053871,0.232935,0.160666,0.25384,0.093174,0.248022,0.123414,5.03125,male
0.053096,0.226562,0.164117,0.244375,0.080257,0.290656,0.130055,5.859375,male
0.080407,0.100791,0.030849,0.181093,0.150244,0.728939,0.102114,0.976563,male
0.08173,0.099496,0.04079,0.187556,0.146767,0.75955,0.103533,0.632813,male
0.077958,0.102394,0.043191,0.187287,0.144096,0.727935,0.094653,3.132813,male
0.079648,0.069628,0.014149,0.130319,0.11617,0.599908,0.109043,4.28125,male
0.07706,0.102809,0.050232,0.188921,0.138689,0.72381,0.097562,4.328125,male
0.077888,0.104962,0.043193,0.181532,0.138339,0.738215,0.099846,4.5625,male
0.078286,0.103415,0.05382,0.189484,0.135663,0.749296,0.10403,4.382813,male
0.082376,0.091792,0.02864,0.179848,0.151207,0.73526,0.076737,0.710938,male
0.079489,0.100587,0.035103,0.180235,0.145132,0.721548,0.101642,0.617188,male
0.080102,0.087671,0.026946,0.167727,0.140781,0.707622,0.106525,1.632813,male
0.084038,0.144606,0.095753,0.220538,0.124786,0.676823,0.110127,0.382813,male
0.085848,0.134289,0.068225,0.222117,0.153892,0.665251,0.105228,0.429688,male
0.085508,0.078153,0.017898,0.190511,0.172614,0.628398,0.101964,0.515625,male
0.079757,0.133597,0.070437,0.202287,0.13185,0.755378,0.112681,4.84375,male
0.091043,0.128635,0.046459,0.22405,0.177591,0.662277,0.092354,0,male
0.089755,0.097246,0.015808,0.189701,0.173892,0.612515,0.1028,0.390625,male
0.085917,0.103883,0.024388,0.196596,0.172207,0.614425,0.105633,0.4375,male
0.089218,0.106108,0.023464,0.205177,0.181713,0.597357,0.104676,0.523438,male
0.084485,0.104602,0.023864,0.19608,0.172216,0.542785,0.107386,0,male
0.086268,0.111622,0.038216,0.204514,0.166297,0.674844,0.086614,0.375,male
0.072623,0.1783,0.103648,0.246028,0.14238,0.523066,0.089305,0.757813,male
0.072854,0.177029,0.09274,0.233963,0.141223,0.526704,0.079046,0.34375,male
0.069851,0.17614,0.097411,0.221509,0.124098,0.519774,0.076996,0.460938,male
0.07221,0.160894,0.085326,0.218945,0.133619,0.579548,0.076255,0.046875,male
0.073088,0.17629,0.092147,0.239619,0.147471,0.48376,0.07347,0.375,male
0.068045,0.177171,0.099981,0.21719,0.117209,0.534102,0.071791,0.625,male
0.071971,0.166712,0.091187,0.229534,0.138347,0.532476,0.077557,0.59375,male
0.071163,0.17253,0.094696,0.220389,0.125693,0.554993,0.071474,0,male
0.073346,0.180588,0.09363,0.237967,0.144337,0.481694,0.068518,0.679688,male
0.071933,0.180107,0.099059,0.239643,0.140584,0.528599,0.08987,0.179688,male
0.072075,0.196721,0.110772,0.225014,0.114242,0.623611,0.108795,4.992188,male
0.077571,0.179003,0.108387,0.230117,0.12173,0.729937,0.103376,6.523438,male
0.08738,0.175186,0.064973,0.221729,0.156755,0.759154,0.093395,5.226563,male
0.08626,0.17305,0.070616,0.219853,0.149238,0.782449,0.110761,5.234375,male
0.088189,0.156628,0.050293,0.213079,0.162786,0.769193,0.107189,3.601563,male
0.087127,0.174299,0.069666,0.226082,0.156416,0.781729,0.109992,5.554688,male
0.08479,0.175559,0.086383,0.22359,0.137207,0.762243,0.107986,6.992188,male
0.083202,0.175924,0.089091,0.218211,0.12912,0.727327,0.10282,4.804688,male
0.074807,0.190606,0.107311,0.222246,0.114935,0.652265,0.087281,5.375,male
0.070485,0.163711,0.13411,0.257648,0.123538,0.333553,0.090939,0.390625,male
0.062047,0.111388,0.08878,0.189571,0.100791,0.560896,0.086565,4.257813,male
0.067119,0.1163,0.087422,0.193991,0.10657,0.578405,0.088512,4.648438,male
0.065363,0.109746,0.091653,0.201398,0.109746,0.567241,0.078778,0.132813,male
0.066241,0.120098,0.096993,0.216405,0.119412,0.575084,0.112568,3.640625,male
0.064399,0.109854,0.08618,0.181727,0.095547,0.572281,0.09356,3.375,male
0.065283,0.112982,0.08642,0.190669,0.10425,0.572291,0.108234,4.578125,male
0.064111,0.11729,0.090491,0.204997,0.114506,0.543657,0.095089,4.195313,male
0.063611,0.114608,0.090817,0.198791,0.107974,0.556354,0.10551,3.75,male
0.063945,0.107268,0.087166,0.188208,0.101042,0.572082,0.084462,3.3125,male
0.067298,0.114685,0.089016,0.214062,0.125046,0.564359,0.097881,3.164063,male
0.079745,0.10422,0.039266,0.154862,0.115596,0.781834,0.124567,0.304688,male
0.07559,0.13158,0.070098,0.19228,0.122182,0.764574,0.122605,0.585938,male
0.077646,0.103733,0.039467,0.166933,0.127467,0.789685,0.142062,0.460938,male
0.083163,0.122667,0.053867,0.202933,0.149067,0.736413,0.110157,3.523438,male
0.077515,0.126,0.078581,0.208194,0.129613,0.771881,0.1086,0.492188,male
0.077024,0.127478,0.062272,0.178469,0.116197,0.822587,0.127453,0.523438,male
0.077089,0.118976,0.047916,0.170477,0.122561,0.715342,0.098098,0.289063,male
0.076154,0.132439,0.09933,0.207263,0.107933,0.778549,0.119752,5.28125,male
0.076832,0.109909,0.036976,0.179016,0.14204,0.677629,0.114736,1.375,male
0.074831,0.139381,0.115841,0.219912,0.104071,0.609237,0.124045,0.453125,male
0.077583,0.152926,0.07974,0.200624,0.120884,0.658351,0.085122,6.054688,male
0.076059,0.162254,0.085248,0.19169,0.106442,0.649529,0.085837,1.773438,male
0.078547,0.160583,0.083314,0.205181,0.121867,0.67771,0.091389,5.929688,male
0.074473,0.152363,0.081327,0.193241,0.111914,0.763373,0.094506,6.351563,male
0.073903,0.163917,0.087262,0.200944,0.113681,0.685155,0.091533,5.335938,male
0.080244,0.158185,0.080398,0.209695,0.129298,0.787403,0.093467,6.3125,male
0.076885,0.17337,0.090235,0.196219,0.105984,0.635588,0.088959,5.851563,male
0.077395,0.168856,0.091596,0.203298,0.111702,0.681603,0.106672,5.929688,male
0.077485,0.168107,0.098551,0.223964,0.125413,0.776357,0.092796,2.5625,male
0.073249,0.162977,0.088457,0.195269,0.106811,0.664847,0.09165,6.101563,male
0.064629,0.189385,0.121877,0.22246,0.100583,0.602794,0.12743,6.007813,male
0.074293,0.172015,0.099194,0.215708,0.116514,0.729355,0.119785,6.179688,male
0.073634,0.19178,0.119088,0.220456,0.101368,0.631997,0.120378,5.46875,male
0.079581,0.153317,0.091079,0.220798,0.129719,0.793454,0.119851,5.554688,male
0.061167,0.205021,0.13629,0.229038,0.092748,0.525316,0.113754,4.59375,male
0.083125,0.153563,0.083155,0.215966,0.132811,0.738547,0.121152,4.664063,male
0.082615,0.180441,0.101103,0.228044,0.126941,0.650573,0.115707,4.4375,male
0.07174,0.191215,0.118077,0.217414,0.099337,0.667931,0.104839,4.570313,male
0.068155,0.187497,0.117408,0.213291,0.095883,0.555786,0.093218,4.328125,male
0.077529,0.146639,0.107197,0.212245,0.105049,0.685496,0.107672,3.820313,male
0.06885,0.1928,0.119733,0.230133,0.1104,0.598206,0.109008,0.453125,male
0.059646,0.174659,0.12499,0.228148,0.103158,0.50866,0.120185,3.5625,male
0.063167,0.199938,0.117713,0.223957,0.106244,0.465367,0.116419,0.546875,male
0.065648,0.157309,0.111623,0.220892,0.109268,0.608047,0.107101,3.835938,male
0.061366,0.205243,0.128673,0.237864,0.109191,0.40922,0.117565,0.484375,male
0.067451,0.188192,0.102962,0.212503,0.10954,0.554522,0.103156,0.578125,male
0.061581,0.197176,0.115496,0.22119,0.105694,0.462425,0.111501,0.90625,male
0.061282,0.205484,0.120499,0.221496,0.100997,0.467147,0.11049,3.523438,male
0.064048,0.210291,0.125738,0.239979,0.114241,0.445586,0.116298,6.007813,male
0.064002,0.19995,0.120075,0.227098,0.107023,0.535276,0.113219,3.945313,male
0.061149,0.198207,0.117063,0.223308,0.106244,0.480294,0.105128,2.757813,male
0.071472,0.084163,0.042172,0.135023,0.092851,0.670205,0.105465,0.507813,male
0.080143,0.114922,0.053645,0.208255,0.154611,0.656899,0.116308,0.390625,male
0.077254,0.107735,0.045731,0.195271,0.149539,0.658518,0.118943,1.320313,male
0.074462,0.112872,0.084791,0.203661,0.11887,0.64284,0.102382,0.132813,male
0.077808,0.113888,0.068899,0.201034,0.132135,0.617386,0.116251,0.726563,male
0.07863,0.119756,0.101218,0.220335,0.119117,0.542517,0.119859,0.226563,male
0.057705,0.242573,0.141701,0.257984,0.116283,0.084934,0.133667,4.03125,male
0.08162,0.115071,0.044274,0.205613,0.161339,0.631719,0.11593,4.25,male
0.079523,0.117448,0.070575,0.213493,0.142919,0.692133,0.115237,0.257813,male
0.076514,0.1196,0.101415,0.220316,0.118901,0.588819,0.11639,0.148438,male
0.07954,0.106411,0.038086,0.174354,0.136268,0.691744,0.127758,3.757813,male
0.080006,0.107824,0.040434,0.1904,0.149966,0.671153,0.104197,0.382813,male
0.078195,0.108297,0.047134,0.192465,0.145331,0.651739,0.114503,0.242188,male
0.074868,0.111446,0.067763,0.201157,0.133394,0.611827,0.12177,1.1875,male
0.079697,0.11003,0.056374,0.205967,0.149594,0.745818,0.124954,0.351563,male
0.084088,0.109829,0.039287,0.20338,0.164093,0.777627,0.1057,0.445313,male
0.079187,0.114992,0.071898,0.212121,0.140223,0.614026,0.111934,0.671875,male
0.074669,0.114743,0.064686,0.180571,0.115886,0.724311,0.103553,0.625,male
0.077134,0.103959,0.041869,0.167952,0.126083,0.696184,0.092952,0.335938,male
0.069611,0.107803,0.047721,0.147474,0.099754,0.719183,0.106848,0.804688,male
0.09235,0.127601,0.019148,0.203879,0.184731,0.51583,0.102683,0,male
0.085713,0.107587,0.028117,0.195649,0.167531,0.492974,0.093241,0,male
0.088725,0.137786,0.086861,0.216983,0.130122,0.544185,0.09014,0,male
0.086559,0.123758,0.011895,0.195131,0.183235,0.504159,0.078679,0,male
0.088596,0.124304,0.030971,0.200572,0.169601,0.509976,0.084083,0,male
0.088072,0.142258,0.059736,0.203226,0.14349,0.581754,0.097809,0,male
0.088278,0.128532,0.049552,0.204482,0.15493,0.53517,0.08923,0,male
0.084918,0.128418,0.079538,0.205061,0.125523,0.49998,0.105474,0,male
0.087341,0.130686,0.065052,0.209127,0.144075,0.529941,0.097032,0,male
0.089504,0.109826,0.000286,0.186476,0.18619,0.46839,0.075519,0,male
0.048547,0.240617,0.220672,0.255481,0.034809,0.130449,0.138002,5.726563,male
0.047604,0.239374,0.216721,0.25055,0.03383,0.126989,0.116978,1.789063,male
0.046845,0.23548,0.21172,0.248486,0.036766,0.139624,0.118713,4.53125,male
0.049785,0.235846,0.205164,0.253988,0.048823,0.140361,0.127353,4.421875,male
0.046059,0.241209,0.22674,0.250599,0.023859,0.119673,0.12686,1.046875,male
0.044697,0.236453,0.22655,0.248391,0.021841,0.117216,0.125255,2.554688,male
0.047353,0.237046,0.219171,0.250919,0.031748,0.188841,0.126728,4.78125,male
0.048524,0.238649,0.222157,0.257202,0.035045,0.129618,0.121583,4.585938,male
0.044109,0.235692,0.219979,0.247501,0.027522,0.137675,0.110794,6.34375,male
0.047789,0.239976,0.214258,0.250876,0.036618,0.137412,0.12442,1.304688,male
0.07187,0.166354,0.092609,0.196652,0.104042,0.643325,0.094743,3.757813,male
0.074239,0.130551,0.105,0.21916,0.11416,0.6311,0.115598,4.265625,male
0.073719,0.129847,0.089819,0.198187,0.108368,0.649326,0.097979,0.484375,male
0.070689,0.152661,0.092848,0.200249,0.107401,0.639476,0.118828,3.851563,male
0.071383,0.139775,0.094235,0.202899,0.108663,0.613985,0.108932,4.742188,male
0.073631,0.14592,0.093556,0.210125,0.116569,0.683323,0.116721,0.59375,male
0.072244,0.128728,0.089848,0.20077,0.110922,0.673342,0.118013,0.640625,male
0.071199,0.128557,0.092041,0.196463,0.104422,0.654942,0.104231,3.960938,male
0.071637,0.164345,0.092177,0.195293,0.103116,0.58308,0.098502,4.84375,male
0.075805,0.154007,0.096461,0.21583,0.119369,0.729505,0.104354,4.164063,male
0.07207,0.186953,0.110342,0.230832,0.12049,0.539779,0.114927,2.039063,male
0.07401,0.195102,0.105338,0.222464,0.117126,0.536715,0.108935,3.625,male
0.072785,0.177933,0.10141,0.216742,0.115333,0.655374,0.12324,4.625,male
0.071762,0.186667,0.102691,0.221266,0.118575,0.580292,0.108613,3.414063,male
0.074977,0.190579,0.10596,0.226433,0.120473,0.62025,0.118109,3.507813,male
0.071987,0.188703,0.106461,0.218819,0.112358,0.59984,0.108212,5.4375,male
0.076978,0.182063,0.107825,0.230404,0.122578,0.710752,0.129392,4.828125,male
0.073017,0.194776,0.114103,0.233072,0.118969,0.530061,0.122059,0.53125,male
0.076173,0.181608,0.10623,0.225634,0.119404,0.62167,0.102042,4.71875,male
0.073204,0.191198,0.107603,0.223981,0.116377,0.61963,0.116108,3.59375,male
0.068844,0.151482,0.118405,0.232807,0.114402,0.584807,0.11335,3.375,male
0.066491,0.165621,0.118497,0.213203,0.094706,0.666715,0.11572,5.992188,male
0.058681,0.165128,0.134201,0.23499,0.100789,0.449683,0.136281,0.296875,male
0.062125,0.151874,0.121223,0.229191,0.107968,0.470957,0.129018,5.414063,male
0.089599,0.029361,0.002402,0.139066,0.136663,0.411128,0.106944,1.476563,male
0.070167,0.01579,0.008229,0.058268,0.05004,0.300592,0.100127,4.875,male
0.072837,0.026995,0.008378,0.075957,0.06758,0.418733,0.104004,5.0625,male
0.093731,0.060057,0.008808,0.159352,0.150543,0.533373,0.089682,5.046875,male
0.087889,0.010975,0.00178,0.117458,0.115678,0.32957,0.099776,1.40625,male
0.091954,0.029364,0.005339,0.148305,0.142966,0.438149,0.092098,0.320313,male
0.08865,0.040976,0.002119,0.14365,0.141531,0.450205,0.095733,6.3125,male
0.090036,0.059668,0.003358,0.148524,0.145166,0.488359,0.094071,3.195313,male
0.057705,0.242573,0.141701,0.257984,0.116283,0.084934,0.133667,4.03125,male
0.052499,0.184211,0.152323,0.258149,0.105826,0.08974,0.134527,5.335938,male
0.046656,0.19956,0.162829,0.243166,0.080337,0.102732,0.14704,5.5,male
0.048561,0.193805,0.156925,0.251232,0.094307,0.105183,0.149086,5.382813,male
0.053489,0.191434,0.156401,0.258351,0.101949,0.094455,0.142237,5.484375,male
0.04931,0.215836,0.168213,0.255855,0.087642,0.096347,0.14102,3.382813,male
0.041747,0.213346,0.183953,0.232114,0.048162,0.080963,0.172847,3.625,male
0.05768,0.198856,0.157527,0.242566,0.085039,0.241945,0.123181,0.570313,male
0.056827,0.196949,0.145932,0.237288,0.091356,0.226079,0.129797,2.898438,male
0.061042,0.202367,0.140745,0.26008,0.119335,0.194141,0.113574,0.53125,male
0.057498,0.196041,0.142463,0.252493,0.110029,0.184081,0.13298,0.546875,male
0.053197,0.205052,0.188149,0.250421,0.062272,0.181529,0.114972,0.429688,male
0.054829,0.196187,0.156416,0.24183,0.085415,0.178963,0.136302,0.570313,male
0.056944,0.205654,0.159444,0.259412,0.099967,0.178778,0.116405,3.578125,male
0.06262,0.16788,0.107507,0.214212,0.106705,0.482138,0.11401,0.737305,male
0.06126,0.162139,0.100535,0.202781,0.102246,0.468228,0.103079,0.771484,male
0.061781,0.155019,0.099145,0.202491,0.103346,0.507183,0.09329,0.566406,male
0.060295,0.16661,0.102095,0.206362,0.104267,0.466106,0.101872,0.649414,male
0.061523,0.155399,0.103868,0.20693,0.103063,0.549759,0.109531,3.510742,male
0.061556,0.155118,0.103343,0.206479,0.103136,0.520469,0.098984,3.15918,male
0.060755,0.146197,0.103556,0.204381,0.100825,0.542239,0.102148,3.066406,male
0.061426,0.145942,0.103827,0.206612,0.102785,0.527571,0.105192,3.139648,male
0.060856,0.163138,0.098949,0.200457,0.101508,0.480389,0.097749,3.710938,male
0.061716,0.155669,0.098932,0.201141,0.102209,0.520398,0.090285,0.649414,male
0.061416,0.166399,0.098671,0.202102,0.103431,0.459831,0.094673,0.50293,male
0.060938,0.177815,0.100273,0.20607,0.105797,0.479164,0.097639,0.600586,male
0.061391,0.163229,0.104425,0.208012,0.103587,0.479236,0.105425,3.78418,male
0.063619,0.151245,0.098629,0.203655,0.105026,0.537051,0.10259,2.783203,male
0.061882,0.157807,0.100442,0.203229,0.102788,0.506675,0.105293,3.447266,male
0.061858,0.158243,0.100908,0.205361,0.104453,0.524902,0.100617,3.461914,male
0.060496,0.179161,0.105538,0.209706,0.104168,0.424228,0.109946,0.541992,male
