@relation 'voice-weka.filters.unsupervised.attribute.Remove-V-R3-5,7,9-11,13-19,21'

@attribute median numeric
@attribute Q25 numeric
@attribute Q75 numeric
@attribute skew numeric
@attribute sp.ent numeric
@attribute sfm numeric
@attribute mode numeric
@attribute meanfun numeric
@attribute minfun numeric
@attribute maxfun numeric
@attribute meandom numeric
@attribute mindom numeric
@attribute maxdom numeric
@attribute dfrange numeric
@attribute label {male,female}

@data
0.124263,0.083145,0.209227,1.378728,0.963514,0.73615,0.108434,0.092644,0.016789,0.213333,0.481671,0.015625,5.015625,5,male
0.190953,0.128839,0.229532,1.36943,0.937446,0.53708,0.219827,0.131504,0.025,0.275862,1.277114,0.007813,2.804688,2.796875,male
0.191233,0.129149,0.240152,3.568104,0.940333,0.571394,0.049987,0.102799,0.020833,0.275862,1.245739,0.203125,6.742188,6.539063,male
0.190874,0.115602,0.228279,4.485038,0.950972,0.635199,0.050027,0.102046,0.018328,0.246154,1.621299,0.007813,7,6.992188,male
0.207951,0.13228,0.244357,1.562304,0.938546,0.53881,0.050129,0.113323,0.017544,0.275862,1.434115,0.007813,6.320313,6.3125,male
0.152807,0.122391,0.243617,3.20717,0.936954,0.58642,0.059958,0.079718,0.015671,0.262295,0.106279,0.007813,0.570313,0.5625,male
0.145618,0.115756,0.239824,2.704335,0.934523,0.559742,0.060033,0.083484,0.015717,0.231884,0.146563,0.007813,3.125,3.117188,male
0.153569,0.12368,0.244234,2.804975,0.930917,0.518269,0.060027,0.09013,0.015702,0.210526,0.193044,0.007813,2.820313,2.8125,male
0.177736,0.12007,0.245368,2.967765,0.925539,0.523081,0.059953,0.093574,0.015764,0.2,0.235877,0.007813,0.71875,0.710938,male
0.169299,0.128673,0.254175,2.587325,0.915284,0.475317,0.059957,0.098643,0.016145,0.275862,0.209844,0.007813,3.695313,3.6875,male
0.145543,0.11393,0.227449,3.58765,0.927015,0.542422,0.059941,0.062542,0.015686,0.197531,0.059622,0.007813,0.445313,0.4375,male
0.146053,0.123989,0.250126,2.816793,0.913832,0.487966,0.059944,0.077698,0.015702,0.192771,0.101563,0.007813,0.5625,0.554688,male
0.144824,0.120924,0.237244,6.253208,0.93303,0.567424,0.060078,0.098944,0.016097,0.275862,0.206756,0.007813,3.953125,3.945313,male
0.147018,0.118698,0.240475,4.208608,0.940669,0.60402,0.059965,0.082963,0.01564,0.253968,0.143353,0.007813,1.0625,1.054688,male
0.186468,0.116706,0.238549,4.269923,0.929498,0.543709,0.059966,0.082451,0.016211,0.271186,0.148438,0.007813,3.609375,3.601563,male
0.143168,0.125801,0.248315,3.079273,0.902275,0.477746,0.128148,0.130598,0.015842,0.225352,0.335313,0.007813,0.710938,0.703125,male
0.141739,0.122174,0.24,2.192126,0.913763,0.539479,0.134783,0.120052,0.016244,0.262295,0.298678,0.007813,0.679688,0.671875,male
0.142385,0.129541,0.252477,2.799969,0.853115,0.313426,0.133578,0.126607,0.017039,0.177778,0.234863,0.007813,0.507813,0.5,male
0.158065,0.092731,0.214366,0.885702,0.973218,0.807552,0.216774,0.067407,0.01626,0.205128,0.261562,0.007813,1.023438,1.015625,male
0.142781,0.122075,0.245077,3.281848,0.915785,0.560407,0.12702,0.12772,0.017279,0.275862,0.274503,0.007813,0.632813,0.625,male
0.144192,0.131058,0.256527,3.736487,0.876749,0.40391,0.134411,0.132726,0.016563,0.228571,0.257813,0.007813,0.648438,0.640625,male
0.146471,0.123529,0.247059,2.576732,0.875392,0.436706,0.12,0.124685,0.016754,0.25,0.799006,0.007813,4.171875,4.164063,male
0.140183,0.127706,0.252844,3.26304,0.875611,0.414839,0.133211,0.124533,0.016343,0.231884,0.244945,0.007813,0.632813,0.625,male
0.146853,0.121399,0.239371,1.993501,0.921132,0.582531,0.133636,0.120254,0.018412,0.168421,0.372869,0.007813,2.609375,2.601563,male
0.15724,0.136022,0.209526,1.936065,0.903982,0.482886,0.134506,0.142748,0.016615,0.262295,0.239583,0.007813,0.601563,0.59375,male
0.14562,0.132847,0.252409,4.504441,0.878207,0.470044,0.135912,0.138904,0.121212,0.172043,0.260937,0.132813,0.554688,0.421875,male
0.142771,0.134296,0.206985,4.344838,0.869836,0.429786,0.137555,0.131376,0.016771,0.181818,0.187891,0.007813,0.6875,0.679688,male
0.146004,0.128811,0.245887,2.745951,0.911851,0.514601,0.132359,0.127529,0.016162,0.25,0.328465,0.007813,0.914063,0.90625,male
0.145322,0.131202,0.246113,2.93044,0.89357,0.424254,0.137067,0.141183,0.015842,0.262295,0.313657,0.007813,0.695313,0.6875,male
0.121467,0.097104,0.21335,2.603394,0.940659,0.611977,0.121293,0.081564,0.015936,0.242424,0.346768,0.007813,4.179688,4.171875,male
0.160124,0.116847,0.229583,2.117203,0.937849,0.592123,0.121391,0.101681,0.01564,0.253968,0.419531,0.007813,2.820313,2.8125,male
0.145159,0.099085,0.211512,2.352594,0.946349,0.629272,0.121321,0.095597,0.01592,0.242424,0.607611,0.085938,4.726563,4.640625,male
0.167918,0.115982,0.228065,2.319626,0.926522,0.567621,0.12132,0.101719,0.016,0.262295,0.204153,0.007813,0.625,0.617188,male
0.129893,0.094868,0.200343,3.268475,0.942626,0.635853,0.121287,0.097532,0.01581,0.275862,0.715745,0.007813,5.226563,5.21875,male
0.133302,0.111085,0.224457,3.019164,0.932415,0.567913,0.121214,0.08046,0.016064,0.266667,0.264129,0.007813,1.335938,1.328125,male
0.144121,0.110681,0.227485,1.699529,0.948383,0.632579,0.121278,0.055565,0.016277,0.213333,0.162642,0.03125,0.671875,0.640625,male
0.161062,0.104452,0.219197,1.939663,0.94219,0.613578,0.121225,0.101395,0.015779,0.275862,0.467797,0.007813,6.882813,6.875,male
0.119852,0.086531,0.200701,2.010993,0.963294,0.727047,0.059926,0.076307,0.016211,0.128,0.505859,0.03125,4.664063,4.632813,male
0.12785,0.088915,0.206272,1.552269,0.966685,0.753188,0.060197,0.098873,0.018735,0.207792,0.853299,0.007813,4.664063,4.65625,male
0.112927,0.087645,0.200361,3.421779,0.948417,0.682988,0.102603,0.090751,0.017241,0.2,0.615313,0.015625,4.445313,4.429688,male
0.124879,0.090724,0.201194,2.264115,0.964873,0.73429,0.060127,0.101395,0.021798,0.235294,0.896282,0.007813,5.15625,5.148438,male
0.134206,0.090594,0.202047,2.052551,0.966588,0.7448,0.060045,0.10932,0.026711,0.228571,0.974688,0.039063,5.828125,5.789063,male
0.144592,0.102439,0.219479,1.758893,0.954711,0.684617,0.06005,0.112256,0.02473,0.275862,0.628701,0.007813,2.703125,2.695313,male
0.137947,0.087859,0.211848,2.111481,0.964925,0.739368,0.059941,0.10367,0.015671,0.275862,0.92048,0.007813,5.429688,5.421875,male
0.135572,0.090608,0.207616,2.797502,0.971907,0.763638,0.059951,0.10325,0.021277,0.266667,0.791667,0.007813,4.992188,4.984375,male
0.118237,0.030685,0.215295,2.062324,0.931661,0.549218,0.117904,0.130888,0.020356,0.271186,0.583417,0.007813,3.726563,3.71875,male
0.126722,0.049986,0.228842,1.388276,0.952514,0.659814,0.114812,0.134314,0.060837,0.25,1.10875,0.007813,4.296875,4.289063,male
0.081725,0.044092,0.144353,0.529584,0.970194,0.754552,0.011655,0.117359,0.015936,0.262295,1.08676,0.007813,4.34375,4.335938,male
0.114191,0.057306,0.201415,2.37739,0.948496,0.670633,0.111874,0.114743,0.02439,0.271186,0.560033,0.007813,4.296875,4.289063,male
0.123869,0.101733,0.211236,1.7932,0.942279,0.610171,0.106442,0.120815,0.033333,0.266667,1.116667,0.09375,4.5625,4.46875,male
0.125353,0.096229,0.232652,1.936127,0.940729,0.585175,0.11309,0.11026,0.027257,0.262295,0.652778,0.007813,4.570313,4.5625,male
0.129721,0.088967,0.233788,1.458799,0.946595,0.621392,0.115893,0.103803,0.015686,0.275862,0.706342,0.007813,4.976563,4.96875,male
0.143149,0.112315,0.249428,1.578563,0.943405,0.595128,0.268978,0.117022,0.016529,0.25,0.599144,0.007813,4.578125,4.570313,male
0.129292,0.09807,0.228163,1.831168,0.946134,0.631689,0.11248,0.131734,0.054054,0.25,0.410547,0.007813,2.71875,2.710938,male
0.124305,0.097152,0.222242,1.724298,0.949959,0.646653,0.109395,0.117298,0.018868,0.258065,0.639617,0.007813,4.0625,4.054688,male
0.161802,0.135475,0.180725,3.961908,0.880375,0.344307,0.16619,0.14181,0.016032,0.253968,0.578125,0.125,6.921875,6.796875,male
0.163262,0.128476,0.190366,1.91923,0.920513,0.403866,0.16689,0.121546,0.015952,0.262295,0.813179,0.070313,6.570313,6.5,male
0.176772,0.14642,0.216629,1.601739,0.910321,0.358023,0.165265,0.130983,0.016162,0.266667,0.568287,0.007813,5.140625,5.132813,male
0.159934,0.125607,0.20088,2.5315,0.92364,0.485118,0.126839,0.132089,0.01854,0.253968,1.04852,0.007813,6.84375,6.835938,male
0.148691,0.125556,0.233479,2.789593,0.909837,0.395328,0.129558,0.132075,0.026187,0.202532,0.299279,0.007813,0.679688,0.671875,male
0.181705,0.107563,0.220742,1.870944,0.934858,0.520926,0.092257,0.102626,0.020833,0.25,0.637835,0.21875,5.203125,4.984375,male
0.210059,0.185332,0.236198,1.840901,0.907683,0.386818,0,0.165155,0.015764,0.271186,1.067057,0.070313,5.59375,5.523438,male
0.102873,0.085061,0.197141,4.078217,0.912216,0.507886,0.08426,0.081165,0.016667,0.262295,0.195313,0.007813,2.171875,2.164063,male
0.19141,0.1569,0.220584,1.461859,0.918001,0.362344,0,0.152013,0.021136,0.246154,0.884549,0.007813,6.71875,6.710938,male
0.176109,0.143045,0.247632,1.411153,0.902247,0.298599,0.16619,0.138198,0.016684,0.231884,0.801339,0.125,6.640625,6.515625,male
0.183431,0.1509,0.22635,1.588014,0.932835,0.427755,0,0.133717,0.018519,0.266667,1.795625,0.007813,7,6.992188,male
0.210792,0.166599,0.243478,2.926781,0.914634,0.412919,0.240643,0.159107,0.020101,0.266667,0.622656,0.15625,6.390625,6.234375,male
0.173151,0.148266,0.21509,1.759853,0.934061,0.512562,0,0.149387,0.0199,0.253968,0.807112,0.007813,6.5625,6.554688,male
0.189809,0.133774,0.238551,1.661061,0.934323,0.467826,0,0.139378,0.025078,0.275862,1.7525,0.078125,6.726563,6.648438,male
0.176618,0.152603,0.209489,1.628579,0.907215,0.302814,0.185474,0.147351,0.0199,0.262295,1.036865,0.140625,6.820313,6.679688,male
0.204407,0.156131,0.248444,1.197041,0.922524,0.394561,0,0.168038,0.018141,0.275862,1.095129,0.148438,6.59375,6.445313,male
0.208775,0.139673,0.235239,6.995045,0.907622,0.319069,0.090012,0.080595,0.015717,0.225352,0.160572,0.09375,0.429688,0.335938,male
0.203384,0.154049,0.239323,4.038263,0.927145,0.296277,0.090012,0.081017,0.01581,0.195122,0.147274,0.09375,0.375,0.28125,male
0.202495,0.15319,0.228694,4.19651,0.912414,0.284872,0.090058,0.065827,0.016244,0.210526,0.167783,0.09375,0.65625,0.5625,male
0.206198,0.149365,0.242859,5.251239,0.929916,0.381853,0.089971,0.078363,0.015733,0.253968,0.161784,0.09375,0.65625,0.5625,male
0.20843,0.148161,0.242332,6.983667,0.924099,0.314006,0.09009,0.063475,0.015671,0.219178,0.147959,0.09375,0.367188,0.273438,male
0.202233,0.152485,0.241116,4.057909,0.9148,0.299863,0.089966,0.083128,0.01626,0.25,0.230183,0.007813,1.984375,1.976563,male
0.201536,0.163791,0.235621,5.417713,0.909693,0.295222,0.090131,0.081505,0.016145,0.262295,0.256893,0.007813,3.242188,3.234375,male
0.214516,0.155806,0.236891,3.844959,0.903755,0.271601,0.090117,0.112023,0.01768,0.275862,0.277018,0.007813,2.070313,2.0625,male
0.210616,0.159707,0.241613,6.230335,0.905979,0.307965,0.090117,0.072136,0.017897,0.150943,0.145559,0.09375,0.421875,0.328125,male
0.218516,0.162993,0.257518,3.957725,0.911215,0.257629,0.090097,0.073051,0.015795,0.197531,0.159201,0.09375,0.382813,0.289063,male
0.111176,0.046735,0.196824,23.538061,0.901914,0.562834,0,0.091147,0.01564,0.275862,0.007813,0.007813,0.007813,0,male
0.102789,0.022764,0.188243,27.952901,0.8933,0.553553,0,0.087918,0.016129,0.266667,0.007813,0.007813,0.007813,0,male
0.102788,0.025164,0.188941,24.705118,0.891348,0.576778,0,0.075907,0.016,0.222222,0.007813,0.007813,0.007813,0,male
0.106214,0.04552,0.200087,26.879675,0.883926,0.604149,0,0.092961,0.01636,0.175824,0.007813,0.007813,0.007813,0,male
0.061245,0.008307,0.129657,15.891002,0.906001,0.561684,0,0.087384,0.01581,0.271186,0.007979,0.007813,0.015625,0.007813,male
0.116964,0.082283,0.204857,27.705119,0.900403,0.584464,0,0.09038,0.016615,0.238806,0.007813,0.007813,0.007813,0,male
0.086859,0.017592,0.173168,20.307146,0.939914,0.687643,0,0.100796,0.016393,0.271186,0.008185,0.007813,0.023438,0.015625,male
0.109892,0.060215,0.192688,22.400866,0.854878,0.505371,0,0.081201,0.015795,0.262295,0.007813,0.007813,0.007813,0,male
0.100671,0.014088,0.19195,23.860445,0.852858,0.557142,0,0.094923,0.015795,0.262295,0.007813,0.007813,0.007813,0,male
0.098246,0.029201,0.176842,22.649384,0.908473,0.617015,0,0.081575,0.017602,0.275862,0.007813,0.007813,0.007813,0,male
0.140971,0.124471,0.242634,2.384672,0.919991,0.484101,0.133934,0.110566,0.01741,0.266667,0.216146,0.007813,0.835938,0.828125,male
0.149954,0.111654,0.226986,1.801984,0.937649,0.577807,0.116847,0.101841,0.015656,0.266667,0.272518,0.007813,0.664063,0.65625,male
0.173489,0.098833,0.211225,2.670335,0.933989,0.566987,0.096873,0.097513,0.0199,0.271186,1.143029,0.09375,6.429688,6.335938,male
0.148101,0.118938,0.229108,1.764016,0.95289,0.626023,0.14162,0.126956,0.016495,0.275862,0.275276,0.007813,3.320313,3.3125,male
0.163195,0.121223,0.246312,1.858877,0.923322,0.462385,0.130888,0.111032,0.01766,0.16,0.241508,0.007813,2.578125,2.570313,male
0.161785,0.125584,0.230023,1.730253,0.909113,0.358371,0.113089,0.128124,0.017076,0.266667,0.143555,0.109375,0.351563,0.242188,male
0.164454,0.126415,0.247681,2.14188,0.912945,0.436573,0.126415,0.125993,0.026667,0.181818,0.440104,0.070313,5.84375,5.773438,male
0.149581,0.120123,0.229091,1.762845,0.927753,0.482047,0.114116,0.113944,0.017429,0.156863,0.163672,0.070313,0.445313,0.375,male
0.166649,0.117105,0.241215,2.156018,0.909803,0.418645,0.126613,0.110461,0.018433,0.262295,1.060547,0.007813,5.796875,5.789063,male
0.14577,0.116569,0.230782,2.009766,0.926112,0.462042,0.108562,0.111528,0.016194,0.246154,0.155,0.078125,0.4375,0.359375,male
0.142837,0.115805,0.239285,2.038745,0.921624,0.48264,0.120477,0.11109,0.023256,0.181818,0.917969,0.007813,5.59375,5.585938,male
0.13524,0.0251,0.217032,27.798182,0.812734,0.403256,0,0.107765,0.018713,0.170213,0.007813,0.007813,0.007813,0,male
0.131992,0.025805,0.166102,23.359828,0.870832,0.583471,0,0.100032,0.016684,0.186047,0.007813,0.007813,0.007813,0,male
0.114281,0.024021,0.159411,24.173676,0.920756,0.67625,0,0.132119,0.01581,0.266667,0.008247,0.007813,0.015625,0.007813,male
0.149948,0.097296,0.17688,25.39336,0.84343,0.445144,0,0.093611,0.02,0.186047,0.007813,0.007813,0.007813,0,male
0.140901,0.043431,0.176526,28.385355,0.882682,0.598327,0,0.104772,0.02,0.183908,0.01903,0.007813,0.445313,0.4375,male
0.095355,0.028873,0.172513,23.987839,0.939773,0.71647,0,0.107765,0.017957,0.253968,0.007813,0.007813,0.007813,0,male
0.175711,0.09544,0.226907,18.849603,0.920294,0.525147,0.060045,0.086094,0.016343,0.271186,0.070313,0.070313,0.070313,0,male
0.191033,0.107888,0.226693,12.568542,0.922336,0.454643,0.060039,0.072396,0.016293,0.25,0.099516,0.070313,0.710938,0.640625,male
0.173655,0.095335,0.235961,17.574405,0.921013,0.564292,0.060054,0.082758,0.0199,0.266667,0.08997,0.070313,0.507813,0.4375,male
0.172965,0.089418,0.239428,17.750146,0.904218,0.519067,0.060057,0.057045,0.018454,0.225352,0.070313,0.070313,0.070313,0,male
0.184861,0.097023,0.240908,15.812252,0.913021,0.486051,0.06005,0.075929,0.016327,0.231884,0.075758,0.070313,0.25,0.179688,male
0.179442,0.097629,0.231771,17.948488,0.921257,0.51932,0.059944,0.081219,0.015889,0.271186,0.073828,0.070313,0.210938,0.140625,male
0.182238,0.097421,0.227032,15.480388,0.913766,0.467166,0.060122,0.081858,0.016178,0.271186,0.165625,0.070313,3.164063,3.09375,male
0.172627,0.0875,0.240847,15.862184,0.906152,0.504633,0.060212,0.060966,0.016227,0.258065,0.070313,0.070313,0.070313,0,male
0.178468,0.101818,0.225659,12.385369,0.919074,0.512956,0.060061,0.075178,0.016327,0.271186,0.082176,0.070313,0.273438,0.203125,male
0.16568,0.093609,0.227535,16.495955,0.91597,0.541932,0.060197,0.074281,0.015968,0.271186,0.076451,0.070313,0.242188,0.171875,male
0.220239,0.155452,0.24258,1.743361,0.916002,0.301161,0.222473,0.116122,0.01867,0.266667,0.956473,0.195313,4.289063,4.09375,male
0.226468,0.175271,0.249815,2.082082,0.902248,0.240631,0.230471,0.115129,0.02213,0.25,1.016357,0.140625,6.25,6.109375,male
0.236923,0.175015,0.254578,2.156407,0.899683,0.25188,0.239042,0.124133,0.027027,0.271186,0.87064,0.148438,6.453125,6.304688,male
0.232935,0.160666,0.25384,2.284524,0.903055,0.248022,0.248584,0.123414,0.023916,0.231884,0.646151,0.171875,5.203125,5.03125,male
0.226562,0.164117,0.244375,2.907053,0.905836,0.290656,0.23817,0.130055,0.031683,0.2,0.926107,0.171875,6.03125,5.859375,male
0.100791,0.030849,0.181093,2.029542,0.959468,0.728939,0.012717,0.102114,0.018913,0.266667,0.155859,0.007813,0.984375,0.976563,male
0.099496,0.04079,0.187556,1.885671,0.96604,0.75955,0.006671,0.103533,0.018692,0.246154,0.136875,0.007813,0.640625,0.632813,male
0.102394,0.043191,0.187287,1.701254,0.961702,0.727935,0.003351,0.094653,0.01898,0.262295,0.291016,0.007813,3.140625,3.132813,male
0.069628,0.014149,0.130319,2.883271,0.927998,0.599908,0.005213,0.109043,0.021248,0.275862,0.335625,0.007813,4.289063,4.28125,male
0.102809,0.050232,0.188921,2.053251,0.960952,0.72381,0.097979,0.097562,0.01631,0.271186,0.294866,0.007813,4.335938,4.328125,male
0.104962,0.043193,0.181532,1.398776,0.965299,0.738215,0.004078,0.099846,0.019277,0.235294,0.328355,0.007813,4.570313,4.5625,male
0.103415,0.05382,0.189484,1.98551,0.962887,0.749296,0.098078,0.10403,0.018244,0.271186,0.466974,0.007813,4.390625,4.382813,male
0.091792,0.02864,0.179848,3.258646,0.959591,0.73526,0.004447,0.076737,0.015984,0.231884,0.119655,0.007813,0.71875,0.710938,male
0.100587,0.035103,0.180235,2.213993,0.958425,0.721548,0.006979,0.101642,0.017857,0.275862,0.135417,0.007813,0.625,0.617188,male
0.087671,0.026946,0.167727,2.425281,0.956193,0.707622,0.009958,0.106525,0.015748,0.266667,0.305707,0.007813,1.640625,1.632813,male
0.144606,0.095753,0.220538,28.45025,0.937321,0.676823,0,0.110127,0.015764,0.275862,0.014773,0.007813,0.390625,0.382813,male
0.134289,0.068225,0.222117,27.284093,0.937912,0.665251,0,0.105228,0.016512,0.275862,0.016719,0.007813,0.4375,0.429688,male
0.078153,0.017898,0.190511,22.784883,0.927355,0.628398,0,0.101964,0.015702,0.266667,0.021034,0.007813,0.523438,0.515625,male
0.133597,0.070437,0.202287,1.59969,0.967592,0.755378,0.144075,0.112681,0.017204,0.262295,0.394717,0.007813,4.851563,4.84375,male
0.128635,0.046459,0.22405,22.851028,0.929761,0.662277,0,0.092354,0.016097,0.271186,0.007813,0.007813,0.007813,0,male
0.097246,0.015808,0.189701,24.267693,0.906791,0.612515,0,0.1028,0.016649,0.271186,0.020508,0.007813,0.398438,0.390625,male
0.103883,0.024388,0.196596,28.201616,0.910824,0.614425,0,0.105633,0.015826,0.271186,0.018483,0.007813,0.445313,0.4375,male
0.106108,0.023464,0.205177,22.555224,0.90322,0.597357,0,0.104676,0.016048,0.275862,0.041756,0.007813,0.53125,0.523438,male
0.104602,0.023864,0.19608,27.103528,0.878151,0.542785,0,0.107386,0.01898,0.262295,0.007813,0.007813,0.007813,0,male
0.111622,0.038216,0.204514,26.054664,0.934388,0.674844,0,0.086614,0.016194,0.228571,0.016959,0.007813,0.382813,0.375,male
0.1783,0.103648,0.246028,15.553404,0.9253,0.523066,0.059938,0.089305,0.015826,0.246154,0.164885,0.070313,0.828125,0.757813,male
0.177029,0.09274,0.233963,17.574986,0.918984,0.526704,0.060048,0.079046,0.016277,0.258065,0.10067,0.070313,0.414063,0.34375,male
0.17614,0.097411,0.221509,17.687897,0.919408,0.519774,0.060048,0.076996,0.01636,0.262295,0.087946,0.070313,0.53125,0.460938,male
0.160894,0.085326,0.218945,19.364065,0.91857,0.579548,0.060054,0.076255,0.016563,0.238806,0.071825,0.070313,0.117188,0.046875,male
0.17629,0.092147,0.239619,18.969499,0.914319,0.48376,0.059949,0.07347,0.016113,0.262295,0.083757,0.070313,0.445313,0.375,male
0.177171,0.099981,0.21719,21.579705,0.926462,0.534102,0.060097,0.071791,0.016377,0.258065,0.090461,0.070313,0.695313,0.625,male
0.166712,0.091187,0.229534,22.497608,0.915976,0.532476,0.060037,0.077557,0.016244,0.253968,0.08505,0.070313,0.664063,0.59375,male
0.17253,0.094696,0.220389,22.868868,0.920157,0.554993,0.059951,0.071474,0.016277,0.262295,0.070313,0.070313,0.070313,0,male
0.180588,0.09363,0.237967,17.004089,0.915417,0.481694,0.060048,0.068518,0.016327,0.228571,0.095312,0.070313,0.75,0.679688,male
0.180107,0.099059,0.239643,19.305794,0.926782,0.528599,0.060036,0.08987,0.015905,0.275862,0.078804,0.070313,0.25,0.179688,male
0.196721,0.110772,0.225014,2.765168,0.937552,0.623611,0.050181,0.108795,0.034707,0.190476,1.107143,0.078125,5.070313,4.992188,male
0.179003,0.108387,0.230117,3.341124,0.961784,0.729937,0.050088,0.103376,0.017167,0.275862,1.16887,0.007813,6.53125,6.523438,male
0.175186,0.064973,0.221729,2.390712,0.966312,0.759154,0.05008,0.093395,0.02,0.25,1.28377,0.007813,5.234375,5.226563,male
0.17305,0.070616,0.219853,3.037177,0.969099,0.782449,0.050088,0.110761,0.019851,0.275862,1.711516,0.007813,5.242188,5.234375,male
0.156628,0.050293,0.213079,3.892381,0.966472,0.769193,0.050088,0.107189,0.024096,0.275862,0.715693,0.007813,3.609375,3.601563,male
0.174299,0.069666,0.226082,2.603951,0.969287,0.781729,0.050181,0.109992,0.01726,0.266667,1.240954,0.007813,5.5625,5.554688,male
0.175559,0.086383,0.22359,2.820347,0.968002,0.762243,0.05008,0.107986,0.017354,0.271186,1.761127,0.007813,7,6.992188,male
0.175924,0.089091,0.218211,3.309897,0.959747,0.727327,0.050088,0.10282,0.01812,0.262295,1.457933,0.007813,4.8125,4.804688,male
0.190606,0.107311,0.222246,3.101154,0.94959,0.652265,0.050129,0.087281,0.018497,0.231884,2.100312,0.007813,5.382813,5.375,male
0.163711,0.13411,0.257648,2.198545,0.895111,0.333553,0,0.090939,0.015702,0.262295,0.118719,0.007813,0.398438,0.390625,male
0.111388,0.08878,0.189571,2.317095,0.931091,0.560896,0.104794,0.086565,0.016277,0.275862,0.329346,0.007813,4.265625,4.257813,male
0.1163,0.087422,0.193991,3.133693,0.93455,0.578405,0.083969,0.088512,0.016667,0.262295,0.395148,0.007813,4.65625,4.648438,male
0.109746,0.091653,0.201398,2.902501,0.927861,0.567241,0.101144,0.078778,0.017335,0.271186,0.105469,0.007813,0.140625,0.132813,male
0.120098,0.096993,0.216405,1.935968,0.934637,0.575084,0.099967,0.112568,0.021769,0.275862,0.56901,0.007813,3.648438,3.640625,male
0.109854,0.08618,0.181727,2.874535,0.933989,0.572281,0.085669,0.09356,0.015733,0.271186,0.239583,0.007813,3.382813,3.375,male
0.112982,0.08642,0.190669,2.916014,0.933477,0.572291,0.083509,0.108234,0.039604,0.271186,0.663802,0.078125,4.65625,4.578125,male
0.11729,0.090491,0.204997,2.762945,0.932131,0.543657,0.083356,0.095089,0.018391,0.228571,0.747984,0.007813,4.203125,4.195313,male
0.114608,0.090817,0.198791,2.297273,0.931106,0.556354,0.101797,0.10551,0.021563,0.271186,0.26527,0.007813,3.757813,3.75,male
0.107268,0.087166,0.188208,2.634625,0.93263,0.572082,0.083964,0.084462,0.016064,0.258065,0.233705,0.007813,3.320313,3.3125,male
0.114685,0.089016,0.214062,2.936318,0.931458,0.564359,0.085719,0.097881,0.01631,0.271186,0.214193,0.007813,3.171875,3.164063,male
0.10422,0.039266,0.154862,0.985696,0.968797,0.781834,0.008807,0.124567,0.016842,0.253968,0.101103,0.007813,0.3125,0.304688,male
0.13158,0.070098,0.19228,1.344299,0.965148,0.764574,0.112783,0.122605,0.016178,0.225352,0.119792,0.007813,0.59375,0.585938,male
0.103733,0.039467,0.166933,1.1101,0.971211,0.789685,0.009067,0.142062,0.020434,0.271186,0.146484,0.007813,0.46875,0.460938,male
0.122667,0.053867,0.202933,1.900327,0.961016,0.736413,0.108533,0.110157,0.017094,0.228571,0.23112,0.015625,3.539063,3.523438,male
0.126,0.078581,0.208194,1.892491,0.962372,0.771881,0.127355,0.1086,0.033058,0.246154,0.135937,0.023438,0.515625,0.492188,male
0.127478,0.062272,0.178469,1.40489,0.975387,0.822587,0.127703,0.127453,0.015671,0.275862,0.11899,0.007813,0.53125,0.523438,male
